player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Aaron Finch,5334,Melbourne Renegades,2023,Big Bash League,-23.581,-0.328,-23.581,-0.328,0,0,66,72,6,25,0,66,42,4,NA,NA,0,NA,NA,NA,NA,0.917,16.5,72,NA,0.083,0,NA,0.347,0.636,MR,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313469.logo.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/304000/304053.jpg
Aaron Hardie,1124283,Perth Scorchers,2023,Big Bash League,29.742,0.086,35.178,0.143,-5.436,-0.054,314,246,28,61,14,218,174,9,7,115,101,14,48,6.832,16.429,1.276,34.889,347,0.139,0.114,0.057,0.475,0.248,0.798,PS,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313468.logo.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,https://www.espncricinfo.com/db/PICTURES/CMS/313600/313651.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/313600/313651.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/313600/313651.1.jpg
Adam Hose,525992,Adelaide Strikers,2023,Big Bash League,-2.079,-0.031,-2.079,-0.031,0,0,90,67,11,23,4,56,38,5,NA,NA,0,NA,NA,NA,NA,1.343,18,67,NA,0.164,0.06,NA,0.343,0.679,AS,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313465.logo.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324227.png,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324227.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Adam Zampa,379504,Melbourne Renegades,2023,Big Bash League,-12.757,-0.069,2.512,0.628,-15.269,-0.084,6,4,1,2,0,3,1,NA,6,251,182,25,48,8.275,41.833,1.5,NA,186,0.137,0.25,0,0.264,0.5,0.333,MR,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313469.logo.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321549.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321549.png,https://www.espncricinfo.com/db/PICTURES/CMS/263500/263543.1.jpg
Akeal Hosein,530812,Melbourne Renegades,2023,Big Bash League,26.622,1.109,0,0,26.622,1.109,NA,0,NA,NA,NA,NA,NA,NA,2,18,24,1,14,4.5,9,NA,NA,24,0.042,NA,NA,0.583,NA,NA,MR,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313469.logo.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321939.png,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321939.png,https://www.espncricinfo.com/db/PICTURES/CMS/326100/326139.4.jpg
Alex Carey,326434,Adelaide Strikers,2023,Big Bash League,2.529,0.094,2.529,0.094,0,0,36,27,5,7,1,22,14,1,NA,NA,0,NA,NA,NA,NA,1.333,36,27,NA,0.185,0.037,NA,0.259,0.636,AS,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313465.logo.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321551.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321551.png,https://www.espncricinfo.com/db/PICTURES/CMS/289900/289949.jpg
Alex Hales,249866,Sydney Thunder,2023,Big Bash League,48.56,0.289,48.56,0.289,0,0,232,168,36,69,12,132,64,8,NA,NA,0,NA,NA,NA,NA,1.381,29,168,NA,0.214,0.071,NA,0.411,0.485,ST,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313472.logo.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316604.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316604.png,https://www.espncricinfo.com/db/PICTURES/CMS/304300/304332.jpg
Alex Ross,333624,Sydney Thunder,2023,Big Bash League,-27.512,-0.265,-27.512,-0.265,0,0,120,104,10,31,4,94,72,7,NA,NA,0,NA,NA,NA,NA,1.154,17.143,104,NA,0.096,0.038,NA,0.298,0.766,ST,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313472.logo.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,https://www.espncricinfo.com/db/PICTURES/CMS/246200/246269.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/246200/246269.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/246200/246269.1.jpg
Andrew Tye,459508,Perth Scorchers,2023,Big Bash League,-2.046,-0.009,-3.465,-0.315,1.419,0.007,14,11,3,8,1,8,0,2,14,284,214,34,77,7.963,20.286,1.273,7,225,0.159,0.273,0.091,0.36,0.727,0,PS,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313468.logo.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321558.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321558.png,https://www.espncricinfo.com/db/PICTURES/CMS/237600/237671.jpg
Ashton Agar,505120,Perth Scorchers,2023,Big Bash League,-23.748,-0.106,-23.655,-0.91,-0.093,-0,16,26,0,10,0,26,16,4,8,266,198,29,60,8.061,33.25,0.615,4,224,0.146,0,0,0.303,0.385,0.615,PS,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313468.logo.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321559.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321559.png,https://www.espncricinfo.com/db/PICTURES/CMS/312100/312154.png
