player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Aaliyah Alleyne,661441,West Indies Women,2022,ICC Women's T20 World Cup,-9.038,-0.565,-4.636,-0.464,-4.402,-0.734,9,10,1,2,0,9,5,1,0,10,6,1,1,10,Inf,0.9,9,16,0.167,0.1,0,0.167,0.2,0.556,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321671.png,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321671.png,https://www.espncricinfo.com/db/PICTURES/CMS/306100/306128.png
Achini Kulasuriya,557731,Sri Lanka Women,2022,ICC Women's T20 World Cup,-8.26,-0.14,0,0,-8.26,-0.14,NA,0,NA,NA,NA,NA,NA,NA,1,70,59,10,25,7.119,70,NA,NA,59,0.169,NA,NA,0.424,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322132.png,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322132.png,https://www.espncricinfo.com/db/PICTURES/CMS/302800/302855.jpg
Afy Fletcher,355351,West Indies Women,2022,ICC Women's T20 World Cup,-1.388,-0.016,2.453,0.273,-3.842,-0.048,14,9,1,2,0,8,10,2,4,94,80,10,28,7.05,23.5,1.556,7,89,0.125,0.111,0,0.35,0.222,1.25,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320593.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320593.png,https://www.espncricinfo.com/db/PICTURES/CMS/306100/306129.png
Aiman Anwer,941805,Pakistan Women,2022,ICC Women's T20 World Cup,-22.586,-0.627,0,0,-22.586,-0.627,NA,0,NA,NA,NA,NA,NA,NA,0,59,36,8,7,9.833,Inf,NA,NA,36,0.222,NA,NA,0.194,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/326400/326495.png,https://www.espncricinfo.com/db/PICTURES/CMS/326400/326495.png,https://www.espncricinfo.com/db/PICTURES/CMS/325600/325605.3.jpg
Alana King,944393,Australia Women,2022,ICC Women's T20 World Cup,-8.07,-0.124,-4.548,-1.516,-3.521,-0.057,1,3,0,2,0,3,1,1,0,68,62,6,21,6.581,Inf,0.333,1,65,0.097,0,0,0.339,0.667,0.333,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337190.png,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337190.png,https://www.espncricinfo.com/db/PICTURES/CMS/334800/334893.4.jpg
Alice Capsey,1187120,England Women,2022,ICC Women's T20 World Cup,8.714,0.171,8.714,0.171,0,0,73,51,15,22,1,36,11,5,NA,NA,0,NA,NA,NA,NA,1.431,14.6,51,NA,0.294,0.02,NA,0.431,0.306,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/326500/326521.png,https://www.espncricinfo.com/db/PICTURES/CMS/326500/326521.png,https://www.espncricinfo.com/db/PICTURES/CMS/324700/324797.4.jpg
Aliya Riaz,572645,Pakistan Women,2022,ICC Women's T20 World Cup,-9.059,-0.221,-0.215,-0.006,-8.845,-1.474,37,35,5,13,0,30,17,2,0,16,6,3,1,16,Inf,1.057,18.5,41,0.5,0.143,0,0.167,0.371,0.567,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320552.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320552.png,https://www.espncricinfo.com/db/PICTURES/CMS/304700/304757.png
Alyssa Healy,275486,Australia Women,2022,ICC Women's T20 World Cup,28.603,0.174,28.603,0.174,0,0,189,164,27,66,2,137,77,4,NA,NA,0,NA,NA,NA,NA,1.152,47.25,164,NA,0.165,0.012,NA,0.402,0.562,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320125.png,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320125.png,https://www.espncricinfo.com/db/PICTURES/CMS/150200/150224.1.jpg
Ama Kanchana,340004,Sri Lanka Women,2022,ICC Women's T20 World Cup,-6.274,-0.165,-4.957,-0.413,-1.317,-0.051,8,12,0,4,0,12,8,1,0,28,26,2,7,6.462,Inf,0.667,8,38,0.077,0,0,0.269,0.333,0.667,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322122.png,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322122.png,https://www.espncricinfo.com/db/PICTURES/CMS/302800/302890.jpg
Amelia Kerr,803971,New Zealand Women,2022,ICC Women's T20 World Cup,31.716,0.163,6.753,0.064,24.963,0.277,113,105,12,39,0,93,65,4,7,81,90,7,44,5.4,11.571,1.076,28.25,195,0.078,0.114,0,0.489,0.371,0.699,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/305700/305720.png
Amy Hunter,1229014,Ireland Women,2022,ICC Women's T20 World Cup,-6.114,-0.226,-6.114,-0.226,0,0,23,27,2,12,0,25,15,4,NA,NA,0,NA,NA,NA,NA,0.852,5.75,27,NA,0.074,0,NA,0.444,0.6,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/346200/346251.png,https://www.espncricinfo.com/db/PICTURES/CMS/346200/346251.png,https://www.espncricinfo.com/db/PICTURES/CMS/334900/334989.2.jpg
Amy Jones,515874,England Women,2022,ICC Women's T20 World Cup,31.085,0.42,31.085,0.42,0,0,101,74,12,21,3,62,47,4,NA,NA,0,NA,NA,NA,NA,1.365,25.25,74,NA,0.162,0.041,NA,0.284,0.758,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320300/320392.png,https://www.espncricinfo.com/db/PICTURES/CMS/320300/320392.png,https://www.espncricinfo.com/db/PICTURES/CMS/304800/304895.png
Annabel Sutherland,1071705,Australia Women,2022,ICC Women's T20 World Cup,-1.223,-0.068,0,0,-1.223,-0.068,NA,0,NA,NA,NA,NA,NA,NA,0,18,18,2,8,6,Inf,NA,NA,18,0.111,NA,NA,0.444,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337192.png,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337192.png,https://www.espncricinfo.com/db/PICTURES/CMS/300500/300583.4.jpg
Anneke Bosch,482506,South Africa Women,2022,ICC Women's T20 World Cup,-7.639,-1.91,-7.639,-1.91,0,0,1,4,0,3,0,4,1,2,NA,NA,0,NA,NA,NA,NA,0.25,0.5,4,NA,0,0,NA,0.75,0.25,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/357500/357501.png,https://www.espncricinfo.com/db/PICTURES/CMS/357500/357501.png,https://www.espncricinfo.com/db/PICTURES/CMS/353900/353952.4.jpg
Anushka Sanjeewani,493860,Sri Lanka Women,2022,ICC Women's T20 World Cup,-16.756,-0.67,-16.756,-0.67,0,0,14,25,1,14,0,24,10,3,NA,NA,0,NA,NA,NA,NA,0.56,4.667,25,NA,0.04,0,NA,0.56,0.417,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322123.png,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322123.png,https://www.espncricinfo.com/db/PICTURES/CMS/300600/300650.1.jpg
Arlene Kelly,592593,Ireland Women,2022,ICC Women's T20 World Cup,-24.485,-0.258,-13.241,-1.655,-11.244,-0.129,2,8,0,6,0,8,2,3,4,107,87,15,32,7.379,26.75,0.25,0.667,95,0.172,0,0,0.368,0.75,0.25,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/353800/353893.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/353800/353893.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/353800/353893.4.jpg
Ashleigh Gardner,858809,Australia Women,2022,ICC Women's T20 World Cup,32.646,0.15,13.337,0.14,19.309,0.157,110,95,14,34,2,81,50,3,10,126,123,13,50,6.146,12.6,1.158,36.667,218,0.106,0.147,0.021,0.407,0.358,0.617,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320126.png,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320126.png,https://www.espncricinfo.com/db/PICTURES/CMS/282400/282465.1.jpg
Ayabonga Khaka,387261,South Africa Women,2022,ICC Women's T20 World Cup,30.37,0.253,-0.74,-0.37,31.11,0.264,1,2,0,1,0,2,1,NA,7,110,118,10,49,5.593,15.714,0.5,NA,120,0.085,0,0,0.415,0.5,0.5,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320600/320637.png,https://www.espncricinfo.com/db/PICTURES/CMS/320600/320637.png,https://www.espncricinfo.com/db/PICTURES/CMS/307200/307245.png
Ayesha Naseem,1214078,Pakistan Women,2022,ICC Women's T20 World Cup,22.228,0.717,22.228,0.717,0,0,49,31,5,4,3,26,23,1,NA,NA,0,NA,NA,NA,NA,1.581,49,31,NA,0.161,0.097,NA,0.129,0.885,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/357400/357493.png,https://www.espncricinfo.com/db/PICTURES/CMS/357400/357493.png,https://www.espncricinfo.com/db/PICTURES/CMS/352400/352465.4.jpg
Bernadine Bezuidenhout,499247,New Zealand Women,2022,ICC Women's T20 World Cup,29.237,0.496,29.237,0.496,0,0,90,59,13,18,0,46,38,4,NA,NA,0,NA,NA,NA,NA,1.525,22.5,59,NA,0.22,0,NA,0.305,0.826,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/305700/305723.png,https://www.espncricinfo.com/db/PICTURES/CMS/305700/305723.png,https://www.espncricinfo.com/db/PICTURES/CMS/305700/305723.png
Beth Mooney,381258,Australia Women,2022,ICC Women's T20 World Cup,27.827,0.153,27.827,0.153,0,0,206,182,28,69,2,154,90,4,NA,NA,0,NA,NA,NA,NA,1.132,51.5,182,NA,0.154,0.011,NA,0.379,0.584,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320129.png,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320129.png,https://www.espncricinfo.com/db/PICTURES/CMS/182400/182467.1.jpg
Bismah Maroof,260229,Pakistan Women,2022,ICC Women's T20 World Cup,1.082,0.011,1.082,0.011,0,0,98,98,9,31,0,89,62,2,NA,NA,0,NA,NA,NA,NA,1,49,98,NA,0.092,0,NA,0.316,0.697,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320561.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320561.png,https://www.espncricinfo.com/db/PICTURES/CMS/150000/150085.1.jpg
Cara Murray,1135028,Ireland Women,2022,ICC Women's T20 World Cup,-26.548,-0.369,-16.058,-1.071,-10.491,-0.184,5,15,0,10,0,15,5,1,4,74,57,8,14,7.789,18.5,0.333,5,72,0.14,0,0,0.246,0.667,0.333,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/346200/346248.png,https://www.espncricinfo.com/db/PICTURES/CMS/346200/346248.png,https://www.espncricinfo.com/db/PICTURES/CMS/334900/334987.2.jpg
Chamari Athapaththu,318853,Sri Lanka Women,2022,ICC Women's T20 World Cup,11.567,0.068,6.578,0.062,4.989,0.079,118,106,20,52,1,86,36,4,3,68,63,5,19,6.476,22.667,1.113,29.5,169,0.079,0.189,0.009,0.302,0.491,0.419,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320555.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320555.png,https://www.espncricinfo.com/db/PICTURES/CMS/302800/302875.jpg
Charlie Dean,1039421,England Women,2022,ICC Women's T20 World Cup,-20.604,-0.194,0.055,0.055,-20.659,-0.197,1,1,0,0,0,1,1,NA,5,135,105,14,29,7.714,27,1,NA,106,0.133,0,0,0.276,0,1,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/331100/331178.png,https://www.espncricinfo.com/db/PICTURES/CMS/331100/331178.png,https://www.espncricinfo.com/db/PICTURES/CMS/328300/328303.4.jpg
Chedean Nation,355355,West Indies Women,2022,ICC Women's T20 World Cup,0.027,0.001,0.027,0.001,0,0,30,28,1,5,0,27,26,NA,NA,NA,0,NA,NA,NA,NA,1.071,NA,28,NA,0.036,0,NA,0.179,0.963,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320596.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320596.png,https://www.espncricinfo.com/db/PICTURES/CMS/306600/306616.png
Chinelle Henry,474190,West Indies Women,2022,ICC Women's T20 World Cup,-6.777,-0.045,-5.742,-0.101,-1.035,-0.011,61,57,8,22,0,49,29,4,3,99,92,12,38,6.457,33,1.07,15.25,149,0.13,0.14,0,0.413,0.386,0.592,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321678.png,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321678.png,https://www.espncricinfo.com/db/PICTURES/CMS/306600/306619.png
Chloe Tryon,453370,South Africa Women,2022,ICC Women's T20 World Cup,0.95,0.007,1.557,0.021,-0.608,-0.01,79,74,11,31,1,63,33,5,4,71,61,7,23,6.984,17.75,1.068,15.8,135,0.115,0.149,0.014,0.377,0.419,0.524,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320600/320638.png,https://www.espncricinfo.com/db/PICTURES/CMS/320600/320638.png,https://www.espncricinfo.com/db/PICTURES/CMS/307200/307247.png
Danni Wyatt,254168,England Women,2022,ICC Women's T20 World Cup,33.803,0.384,33.803,0.384,0,0,120,88,19,34,3,69,38,5,NA,NA,0,NA,NA,NA,NA,1.364,24,88,NA,0.216,0.034,NA,0.386,0.551,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320300/320399.png,https://www.espncricinfo.com/db/PICTURES/CMS/320300/320399.png,https://www.espncricinfo.com/db/PICTURES/CMS/305100/305146.png
Darcie Brown,388845,Australia Women,2022,ICC Women's T20 World Cup,51.65,0.377,4.584,2.292,47.066,0.349,6,2,1,0,0,1,2,NA,8,105,135,14,78,4.667,13.125,3,NA,137,0.104,0.5,0,0.578,0,2,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/326500/326529.png,https://www.espncricinfo.com/db/PICTURES/CMS/326500/326529.png,https://www.espncricinfo.com/db/PICTURES/CMS/324700/324714.4.jpg
Deepti Sharma,597811,India Women,2022,ICC Women's T20 World Cup,-13.942,-0.105,-3.545,-0.127,-10.397,-0.099,27,28,2,10,0,26,19,2,6,132,105,16,37,7.543,22,0.964,13.5,133,0.152,0.071,0,0.352,0.357,0.731,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320600/320618.png,https://www.espncricinfo.com/db/PICTURES/CMS/320600/320618.png,https://www.espncricinfo.com/db/PICTURES/CMS/304400/304461.png
Delmi Tucker,939253,South Africa Women,2022,ICC Women's T20 World Cup,-15.782,-0.367,-18.14,-0.726,2.357,0.131,12,25,0,11,0,25,12,2,0,15,18,0,4,5,Inf,0.48,6,43,0,0,0,0.222,0.44,0.48,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/357500/357500.png,https://www.espncricinfo.com/db/PICTURES/CMS/357500/357500.png,https://www.espncricinfo.com/db/PICTURES/CMS/353900/353956.4.jpg
Devika Vaidya,709837,India Women,2022,ICC Women's T20 World Cup,1.74,0.124,-0.796,-0.796,2.535,0.195,0,1,0,1,0,1,0,NA,1,16,13,2,4,7.385,16,0,NA,14,0.154,0,0,0.308,1,0,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/357400/357486.png,https://www.espncricinfo.com/db/PICTURES/CMS/357400/357486.png,https://www.espncricinfo.com/db/PICTURES/CMS/353900/353967.4.jpg
Eden Carson,1169661,New Zealand Women,2022,ICC Women's T20 World Cup,7.585,0.095,-7.151,-0.65,14.736,0.214,4,11,0,6,0,11,4,1,6,68,69,4,26,5.913,11.333,0.364,4,80,0.058,0,0,0.377,0.545,0.364,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/357400/357491.png,https://www.espncricinfo.com/db/PICTURES/CMS/357400/357491.png,https://www.espncricinfo.com/db/PICTURES/CMS/341000/341049.4.jpg
Eimear Richardson,54945,Ireland Women,2022,ICC Women's T20 World Cup,-24.45,-0.394,-0.827,-0.022,-23.623,-0.984,43,38,7,15,0,31,15,3,0,49,24,8,5,12.25,Inf,1.132,14.333,62,0.333,0.184,0,0.208,0.395,0.484,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321613.png,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321613.png,https://www.espncricinfo.com/db/PICTURES/CMS/181900/181915.jpg
Ellyse Perry,275487,Australia Women,2022,ICC Women's T20 World Cup,24.561,0.279,18.25,0.493,6.311,0.124,60,37,8,11,2,29,24,3,3,49,51,6,22,5.765,16.333,1.622,20,88,0.118,0.216,0.054,0.431,0.297,0.828,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320130.png,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320130.png,https://www.espncricinfo.com/db/PICTURES/CMS/282400/282462.1.jpg
Fahima Khatun,627048,Bangladesh Women,2022,ICC Women's T20 World Cup,-10.169,-0.154,-0.518,-0.086,-9.651,-0.161,4,6,0,2,0,6,4,NA,2,69,60,5,15,6.9,34.5,0.667,NA,66,0.083,0,0,0.25,0.333,0.667,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320400/320480.png,https://www.espncricinfo.com/db/PICTURES/CMS/320400/320480.png,https://www.espncricinfo.com/db/PICTURES/CMS/305300/305365.png
Fargana Hoque,486995,Bangladesh Women,2022,ICC Women's T20 World Cup,-0.146,-0.016,-0.146,-0.016,0,0,7,9,0,1,0,9,7,1,NA,NA,0,NA,NA,NA,NA,0.778,7,9,NA,0,0,NA,0.111,0.778,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320400/320481.png,https://www.espncricinfo.com/db/PICTURES/CMS/320400/320481.png,https://www.espncricinfo.com/db/PICTURES/CMS/305300/305366.png
Fatima Sana,1144886,Pakistan Women,2022,ICC Women's T20 World Cup,-41.141,-0.346,-7.195,-0.18,-33.945,-0.43,25,40,2,17,0,38,17,NA,4,116,79,15,23,8.81,29,0.625,NA,119,0.19,0.05,0,0.291,0.425,0.447,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/336200/336283.png,https://www.espncricinfo.com/db/PICTURES/CMS/336200/336283.png,https://www.espncricinfo.com/db/PICTURES/CMS/334800/334896.4.jpg
Fran Jonas,1208952,New Zealand Women,2022,ICC Women's T20 World Cup,-19.473,-0.374,-6.466,-0.808,-13.007,-0.296,2,8,0,5,0,8,2,1,1,56,44,9,20,7.636,56,0.25,2,52,0.205,0,0,0.455,0.625,0.25,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/326500/326536.png,https://www.espncricinfo.com/db/PICTURES/CMS/326500/326536.png,https://www.espncricinfo.com/db/PICTURES/CMS/324700/324716.4.jpg
Freya Davies,652945,England Women,2022,ICC Women's T20 World Cup,0.311,0.012,0,0,0.311,0.012,NA,0,NA,NA,NA,NA,NA,NA,1,28,26,4,12,6.462,28,NA,NA,26,0.154,NA,NA,0.462,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/323100/323185.png,https://www.espncricinfo.com/db/PICTURES/CMS/323100/323185.png,https://www.espncricinfo.com/db/PICTURES/CMS/305100/305152.png
Gaby Lewis,774347,Ireland Women,2022,ICC Women's T20 World Cup,8.966,0.077,8.966,0.077,0,0,116,116,17,50,0,99,48,3,NA,NA,0,NA,NA,NA,NA,1,38.667,116,NA,0.147,0,NA,0.431,0.485,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/343200/343252.png,https://www.espncricinfo.com/db/PICTURES/CMS/343200/343252.png,https://www.espncricinfo.com/db/PICTURES/CMS/239100/239155.jpg
Georgia Plimmer,1208951,New Zealand Women,2022,ICC Women's T20 World Cup,-6.244,-0.52,-6.244,-0.52,0,0,7,12,1,9,0,11,3,1,NA,NA,0,NA,NA,NA,NA,0.583,7,12,NA,0.083,0,NA,0.75,0.273,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/353200/353269.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/353200/353269.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/353200/353269.4.jpg
