player,cricinfo_id,team,season,competition,match_id,custom_match_id,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Aaron Finch,5334,San Francisco Unicorns,2023,Major League Cricket,1381362,NA,-3.889,-0.299,-3.889,-0.299,0,0,9,13,1,6,1,12,3,1,0,0,0,0,0,NA,NA,0.692,9,13,NA,0.077,0.077,NA,0.462,0.25,SF,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361792.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/304000/304053.jpg
Aaron Finch,5334,San Francisco Unicorns,2023,Major League Cricket,1381364,NA,-6.409,-0.401,-6.409,-0.401,0,0,14,16,2,10,1,14,4,1,0,0,0,0,0,NA,NA,0.875,14,16,NA,0.125,0.062,NA,0.625,0.286,SF,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361792.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/304000/304053.jpg
Aaron Finch,5334,San Francisco Unicorns,2023,Major League Cricket,1381368,NA,-3.635,-0.363,-3.635,-0.363,0,0,12,10,2,4,0,8,4,0,0,0,0,0,0,NA,NA,1.2,Inf,10,NA,0.2,0,NA,0.4,0.5,SF,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361792.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/304000/304053.jpg
Aaron Finch,5334,San Francisco Unicorns,2023,Major League Cricket,1381371,NA,-16.421,-0.586,-16.421,-0.586,0,0,14,28,1,17,1,27,8,1,0,0,0,0,0,NA,NA,0.5,14,28,NA,0.036,0.036,NA,0.607,0.296,SF,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361792.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/304000/304053.jpg
Aaron Finch,5334,San Francisco Unicorns,2023,Major League Cricket,1381374,NA,5.732,0.573,5.732,0.573,0,0,19,10,3,2,0,7,7,1,0,0,0,0,0,NA,NA,1.9,19,10,NA,0.3,0,NA,0.2,1,SF,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361792.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/304000/304053.jpg
Adam Zampa,379504,Los Angeles Knight Riders,2023,Major League Cricket,1381361,MLC_2023_2023-07-13_TSK_LAKR,-10.277,-0.467,-4.1,-1.025,-6.177,-0.343,3,4,0,1,0,4,3,1,1,29,18,2,2,9.667,29,0.75,3,22,0.111,0,0,0.111,0.25,0.75,LAKR,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361790.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321549.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321549.png,https://www.espncricinfo.com/db/PICTURES/CMS/263500/263543.1.jpg
Adam Zampa,379504,Los Angeles Knight Riders,2023,Major League Cricket,1381366,NA,8.391,0.262,-1.704,-0.243,10.094,0.404,6,7,0,1,0,7,6,0,2,26,25,1,9,6.24,13,0.857,Inf,32,0.04,0,0,0.36,0.143,0.857,LAKR,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361790.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321549.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321549.png,https://www.espncricinfo.com/db/PICTURES/CMS/263500/263543.1.jpg
Adam Zampa,379504,Los Angeles Knight Riders,2023,Major League Cricket,1381368,NA,-6.228,-0.26,0,0,-6.228,-0.26,0,0,0,0,0,0,0,0,3,41,24,6,9,10.25,13.667,NA,NA,24,0.25,NA,NA,0.375,NA,NA,LAKR,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361790.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321549.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321549.png,https://www.espncricinfo.com/db/PICTURES/CMS/263500/263543.1.jpg
Adam Zampa,379504,Los Angeles Knight Riders,2023,Major League Cricket,1381369,NA,-8.321,-0.333,-0.293,-0.293,-8.028,-0.335,1,1,0,0,0,1,1,0,1,40,24,4,4,10,40,1,Inf,25,0.167,0,0,0.167,0,1,LAKR,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361790.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321549.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321549.png,https://www.espncricinfo.com/db/PICTURES/CMS/263500/263543.1.jpg
Adam Zampa,379504,Los Angeles Knight Riders,2023,Major League Cricket,1381372,NA,9.739,0.263,-3.357,-0.28,13.096,0.524,12,12,1,5,0,11,8,1,2,26,25,3,10,6.24,13,1,12,37,0.12,0.083,0,0.4,0.417,0.727,LAKR,https://www.espncricinfo.com/db/PICTURES/CMS/361700/361790.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/9/9f/Major_League_Cricket_logo.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321549.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321549.png,https://www.espncricinfo.com/db/PICTURES/CMS/263500/263543.1.jpg
