player,cricinfo_id,team,season,competition,match_id,custom_match_id,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Adam Milne,450860,Central Districts,2021,Super Smash,1289613,NA,-0.993,-0.071,0,0,-0.993,-0.071,0,0,0,0,0,0,0,0,0,16,14,1,5,6.857,Inf,NA,NA,14,0.071,NA,NA,0.357,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316689.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316689.png,https://www.espncricinfo.com/db/PICTURES/CMS/303700/303779.png
Adam Milne,450860,Central Districts,2021,Super Smash,1289630,NA,5.513,0.162,-3.818,-0.477,9.332,0.359,8,8,1,2,0,7,4,1,1,22,26,1,12,5.077,22,1,8,34,0.038,0.125,0,0.462,0.25,0.571,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316689.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316689.png,https://www.espncricinfo.com/db/PICTURES/CMS/303700/303779.png
Adam Milne,450860,Wellington,2022,Super Smash,1341195,NA,7.253,0.213,-1.221,-0.136,8.473,0.339,12,9,1,3,1,8,6,1,3,27,25,4,10,6.48,9,1.333,12,34,0.16,0.111,0.111,0.4,0.333,0.75,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316689.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316689.png,https://www.espncricinfo.com/db/PICTURES/CMS/303700/303779.png
Adam Milne,450860,Wellington,2022,Super Smash,1341197,NA,-3.334,-0.079,4.389,0.439,-7.723,-0.241,15,10,1,2,1,9,9,0,3,52,32,8,10,9.75,17.333,1.5,Inf,42,0.25,0.1,0.1,0.312,0.2,1,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316689.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316689.png,https://www.espncricinfo.com/db/PICTURES/CMS/303700/303779.png
Adam Milne,450860,Wellington,2022,Super Smash,1341211,NA,5.49,0.119,-1.274,-0.064,6.764,0.26,22,20,2,6,1,18,12,1,1,25,26,3,16,5.769,25,1.1,22,46,0.115,0.1,0.05,0.615,0.3,0.667,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316689.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316689.png,https://www.espncricinfo.com/db/PICTURES/CMS/303700/303779.png
Adam Milne,450860,Wellington,2022,Super Smash,1341222,NA,-0.687,-0.025,-4.835,-1.612,4.148,0.173,1,3,0,2,0,3,1,1,2,25,24,2,11,6.25,12.5,0.333,1,27,0.083,0,0,0.458,0.667,0.333,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316689.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316689.png,https://www.espncricinfo.com/db/PICTURES/CMS/303700/303779.png
Adam Milne,450860,Wellington,2023,Super Smash,1409486,NA,-43.416,-1.608,-4.835,-1.612,-38.581,-1.608,0,3,0,2,0,3,0,1,0,46,24,7,7,11.5,Inf,0,0,27,0.292,0,0,0.292,0.667,0,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316689.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316689.png,https://www.espncricinfo.com/db/PICTURES/CMS/303700/303779.png
Adam Milne,450860,Wellington,2023,Super Smash,1409502,NA,6.08,0.203,7.218,1.805,-1.138,-0.044,12,4,3,0,0,1,0,0,0,34,26,4,9,7.846,Inf,3,Inf,30,0.154,0.75,0,0.346,0,0,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316689.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316689.png,https://www.espncricinfo.com/db/PICTURES/CMS/303700/303779.png
Adam Milne,450860,Wellington,2023,Super Smash,1409504,NA,-2.158,-0.09,0,0,-2.158,-0.09,0,0,0,0,0,0,0,0,1,32,24,5,11,8,32,NA,NA,24,0.208,NA,NA,0.458,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316689.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316689.png,https://www.espncricinfo.com/db/PICTURES/CMS/303700/303779.png
Adithya Ashok,1193546,Auckland,2021,Super Smash,1289604,NA,-5.001,-0.208,-8.471,-2.118,3.47,0.173,0,4,0,4,0,4,0,1,1,22,20,2,7,6.6,22,0,0,24,0.1,0,0,0.35,1,0,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/364600/364683.1.png,https://www.espncricinfo.com/db/PICTURES/CMS/364600/364683.1.png,https://www.espncricinfo.com/db/PICTURES/CMS/364600/364683.1.png
