player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Alana King,944393,Perth Scorchers Women,2023,WBBL,71.058,0.172,-7.024,-0.075,78.082,0.246,103,94,13,36,2,81,47,5,19,347,318,43,143,6.547,18.263,1.096,20.6,412,0.135,0.138,0.021,0.45,0.383,0.58,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337190.png,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337190.png,https://www.espncricinfo.com/db/PICTURES/CMS/334800/334893.4.jpg
Alice Capsey,1187120,Melbourne Stars Women,2023,WBBL,-68.464,-0.147,-62.666,-0.224,-5.799,-0.031,283,280,39,125,3,241,121,14,9,244,187,29,54,7.829,27.111,1.011,20.214,467,0.155,0.139,0.011,0.289,0.446,0.502,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/326500/326521.png,https://www.espncricinfo.com/db/PICTURES/CMS/326500/326521.png,https://www.espncricinfo.com/db/PICTURES/CMS/324700/324797.4.jpg
Alyssa Healy,275486,Sydney Sixers Women,2023,WBBL,-0.789,-0.066,-0.789,-0.066,0,0,10,12,1,5,1,11,4,1,NA,NA,0,NA,NA,NA,NA,0.833,10,12,NA,0.083,0.083,NA,0.417,0.364,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320125.png,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320125.png,https://www.espncricinfo.com/db/PICTURES/CMS/150200/150224.1.jpg
Amanda-Jade Wellington,381305,Adelaide Strikers Women,2023,WBBL,144.238,0.438,-10.69,-0.369,154.928,0.516,26,29,3,10,0,26,14,2,26,275,300,27,135,5.5,10.577,0.897,13,329,0.09,0.103,0,0.45,0.345,0.538,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/326400/326476.png,https://www.espncricinfo.com/db/PICTURES/CMS/326400/326476.png,https://www.espncricinfo.com/db/PICTURES/CMS/324900/324996.4.jpg
Amelia Kerr,803971,Brisbane Heat Women,2023,WBBL,31.239,0.055,0.951,0.003,30.287,0.111,355,298,47,93,0,251,167,11,12,333,274,35,87,7.292,27.75,1.191,32.273,572,0.128,0.158,0,0.318,0.312,0.665,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/305700/305720.png
Amy Edgar,1160200,Perth Scorchers Women,2023,WBBL,14.306,0.036,-40.408,-0.374,54.713,0.187,91,108,10,47,0,98,51,7,21,337,293,44,118,6.901,16.048,0.843,13,401,0.15,0.093,0,0.403,0.435,0.52,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Amy Jones,515874,Perth Scorchers Women,2023,WBBL,36.71,0.21,36.71,0.21,0,0,262,175,32,42,7,143,120,10,NA,NA,0,NA,NA,NA,NA,1.497,26.2,175,NA,0.183,0.04,NA,0.24,0.839,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320300/320392.png,https://www.espncricinfo.com/db/PICTURES/CMS/320300/320392.png,https://www.espncricinfo.com/db/PICTURES/CMS/304800/304895.png
Amy Smith,1173526,Hobart Hurricanes Women,2023,WBBL,-3.562,-0.017,-22.031,-0.787,18.47,0.105,24,28,3,11,0,25,12,5,9,208,176,21,57,7.091,23.111,0.857,4.8,204,0.119,0.107,0,0.324,0.393,0.48,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/373900/373910.png,https://www.espncricinfo.com/db/PICTURES/CMS/373900/373910.png,https://www.espncricinfo.com/db/PICTURES/CMS/352400/352481.4.jpg
Anesu Mushangwe,922493,Adelaide Strikers Women,2023,WBBL,69.854,0.238,-0.242,-0.121,70.097,0.24,2,2,0,0,0,2,2,NA,17,313,292,35,117,6.432,18.412,1,NA,294,0.12,0,0,0.401,0,1,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/336200/336267.png,https://www.espncricinfo.com/db/PICTURES/CMS/336200/336267.png,https://www.espncricinfo.com/db/PICTURES/CMS/332600/332602.3.jpg
Anika Learoyd,1231570,Sydney Thunder Women,2023,WBBL,-20.951,-0.162,-20.951,-0.162,0,0,140,129,19,55,3,110,58,9,NA,NA,0,NA,NA,NA,NA,1.085,15.556,129,NA,0.147,0.023,NA,0.426,0.527,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
