player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
AM Ewart,1246200,Northern Districts Women,2021,Women's Super Smash,1.073,0.268,1.073,0.268,0,0,5,4,1,2,0,3,1,NA,NA,NA,0,NA,NA,NA,NA,1.25,NA,4,NA,0.25,0,NA,0.5,0.333,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
AM Ewart,1246200,Northern Districts Women,2022,Women's Super Smash,-0.045,-0.045,-0.045,-0.045,0,0,1,1,0,0,0,1,1,NA,NA,NA,0,NA,NA,NA,NA,1,NA,1,NA,0,0,NA,0,1,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Abigail Hotton,1351919,Canterbury Women,2022,Women's Super Smash,-7.084,-0.197,0,0,-7.084,-0.197,NA,0,NA,NA,NA,NA,NA,NA,1,43,36,4,11,7.167,43,NA,NA,36,0.111,NA,NA,0.306,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/353200/353265.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/353200/353265.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/353200/353265.4.jpg
Abigail Hotton,1351919,Canterbury Women,2023,Women's Super Smash,-2.43,-0.081,-0.136,-0.045,-2.293,-0.085,3,3,0,0,0,3,3,NA,0,27,27,2,12,6,Inf,1,NA,30,0.074,0,0,0.444,0,1,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/353200/353265.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/353200/353265.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/353200/353265.4.jpg
Abigale Gerken,1252498,Canterbury Women,2021,Women's Super Smash,-32.181,-0.473,-32.181,-0.473,0,0,47,68,3,32,0,65,35,6,NA,NA,0,NA,NA,NA,NA,0.691,7.833,68,NA,0.044,0,NA,0.471,0.538,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Abigale Gerken,1252498,Canterbury Women,2022,Women's Super Smash,-24.884,-0.28,-24.884,-0.28,0,0,80,89,6,31,0,83,56,8,NA,NA,0,NA,NA,NA,NA,0.899,10,89,NA,0.067,0,NA,0.348,0.675,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Allie Mace-Cochrane,701739,Canterbury Women,2021,Women's Super Smash,-3.338,-1.113,-3.338,-1.113,0,0,0,3,0,1,0,3,0,1,NA,NA,0,NA,NA,NA,NA,0,0,3,NA,0,0,NA,0.333,0,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/174600/174697.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/174600/174697.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/174600/174697.1.jpg
Amanda-Jade Wellington,381305,Northern Districts Women,2022,Women's Super Smash,-0.846,-0.005,-7.546,-0.108,6.699,0.066,65,70,7,30,0,63,37,5,5,106,102,8,39,6.235,21.2,0.929,13,172,0.078,0.1,0,0.382,0.429,0.587,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/326400/326476.png,https://www.espncricinfo.com/db/PICTURES/CMS/326400/326476.png,https://www.espncricinfo.com/db/PICTURES/CMS/324900/324996.4.jpg
Amelia Kerr,803971,Wellington Women,2021,Women's Super Smash,122.156,0.212,29.706,0.094,92.449,0.357,346,316,37,105,0,279,198,10,19,202,259,13,125,4.68,10.632,1.095,34.6,575,0.05,0.117,0,0.483,0.332,0.71,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/305700/305720.png
Amelia Kerr,803971,Wellington Women,2022,Women's Super Smash,48.602,0.132,30.252,0.148,18.35,0.113,244,205,30,69,0,175,124,5,7,156,163,14,59,5.742,22.286,1.19,48.8,368,0.086,0.146,0,0.362,0.337,0.709,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/305700/305720.png
Amelia Kerr,803971,Wellington Women,2023,Women's Super Smash,192.343,0.319,78.709,0.219,113.635,0.468,437,360,55,108,2,305,213,6,22,179,243,15,122,4.42,8.136,1.214,72.833,603,0.062,0.153,0.006,0.502,0.3,0.698,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/305700/305720.png
Amie Hucker,1176518,Auckland Women,2021,Women's Super Smash,-12.951,-0.102,2.076,0.26,-15.027,-0.126,11,8,1,2,1,7,5,1,2,135,119,14,44,6.807,67.5,1.375,11,127,0.118,0.125,0.125,0.37,0.25,0.714,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Amie Hucker,1176518,Auckland Women,2022,Women's Super Smash,-14.754,-0.059,-14.821,-0.296,0.067,0,40,50,1,24,0,49,36,2,10,222,199,19,71,6.693,22.2,0.8,20,249,0.095,0.02,0,0.357,0.48,0.735,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Amie Hucker,1176518,Auckland Women,2023,Women's Super Smash,-24.792,-0.238,-17.332,-1.02,-7.46,-0.086,8,17,0,12,0,17,8,4,4,113,87,16,29,7.793,28.25,0.471,2,104,0.184,0,0,0.333,0.706,0.471,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Amy Satterthwaite,233007,Canterbury Women,2021,Women's Super Smash,34.363,0.064,24.749,0.081,9.614,0.042,313,307,40,125,1,267,151,9,8,244,231,22,89,6.338,30.5,1.02,34.778,538,0.095,0.13,0.003,0.385,0.407,0.566,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320535.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320535.png,https://www.espncricinfo.com/db/PICTURES/CMS/305700/305721.png
Amy Satterthwaite,233007,Canterbury Women,2022,Women's Super Smash,92.668,0.15,51.456,0.151,41.211,0.15,376,341,45,119,1,296,194,7,18,269,275,21,102,5.869,14.944,1.103,53.714,616,0.076,0.132,0.003,0.371,0.349,0.655,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320535.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320535.png,https://www.espncricinfo.com/db/PICTURES/CMS/305700/305721.png
Anna Browning,1297329,Auckland Women,2022,Women's Super Smash,-12.493,-0.084,-8.724,-0.116,-3.769,-0.052,71,75,8,36,0,67,39,4,4,85,73,6,21,6.986,21.25,0.947,17.75,148,0.082,0.107,0,0.288,0.48,0.582,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/353900/353948.png,https://www.espncricinfo.com/db/PICTURES/CMS/353900/353948.png,https://www.espncricinfo.com/db/PICTURES/CMS/353200/353261.4.jpg
Anna Browning,1297329,Auckland Women,2023,Women's Super Smash,-6.201,-0.027,-12.545,-0.172,6.344,0.041,68,73,8,32,0,65,36,7,6,158,153,13,52,6.196,26.333,0.932,9.714,226,0.085,0.11,0,0.34,0.438,0.554,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/353900/353948.png,https://www.espncricinfo.com/db/PICTURES/CMS/353900/353948.png,https://www.espncricinfo.com/db/PICTURES/CMS/353200/353261.4.jpg
Anna Peterson,329003,Auckland Women,2021,Women's Super Smash,-12.58,-0.073,-2.853,-0.073,-9.726,-0.073,34,39,4,20,1,35,16,5,7,147,133,17,58,6.632,21,0.872,6.8,172,0.128,0.103,0.026,0.436,0.513,0.457,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/322200/322295.png,https://www.espncricinfo.com/db/PICTURES/CMS/322200/322295.png,https://www.espncricinfo.com/db/PICTURES/CMS/305700/305722.png
