player,cricinfo_id,team,season,competition,match_id,custom_match_id,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
AM Ewart,1246200,Northern Districts Women,2021,Women's Super Smash,1290639,NA,1.073,0.268,1.073,0.268,0,0,5,4,1,2,0,3,1,0,0,0,0,0,0,NA,NA,1.25,Inf,4,NA,0.25,0,NA,0.5,0.333,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
AM Ewart,1246200,Northern Districts Women,2022,Women's Super Smash,1341252,NA,-0.045,-0.045,-0.045,-0.045,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,NA,NA,1,Inf,1,NA,0,0,NA,0,1,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Abigail Hotton,1351919,Canterbury Women,2022,Women's Super Smash,1341256,NA,-5.001,-0.417,0,0,-5.001,-0.417,0,0,0,0,0,0,0,0,0,15,12,1,2,7.5,Inf,NA,NA,12,0.083,NA,NA,0.167,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/353200/353265.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/353200/353265.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/353200/353265.4.jpg
Abigail Hotton,1351919,Canterbury Women,2022,Women's Super Smash,1341257,NA,-2.082,-0.087,0,0,-2.082,-0.087,0,0,0,0,0,0,0,0,1,28,24,3,9,7,28,NA,NA,24,0.125,NA,NA,0.375,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/353200/353265.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/353200/353265.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/353200/353265.4.jpg
Abigail Hotton,1351919,Canterbury Women,2023,Women's Super Smash,1409534,NA,-2.43,-0.081,-0.136,-0.045,-2.293,-0.085,3,3,0,0,0,3,3,0,0,27,27,2,12,6,Inf,1,Inf,30,0.074,0,0,0.444,0,1,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/353200/353265.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/353200/353265.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/353200/353265.4.jpg
Abigale Gerken,1252498,Canterbury Women,2021,Women's Super Smash,1290630,WSS_2021_2021-11-26_WEL-W_CAN-W,-3.449,-3.449,-3.449,-3.449,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,NA,NA,0,0,1,NA,0,0,NA,1,0,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Abigale Gerken,1252498,Canterbury Women,2021,Women's Super Smash,1290636,NA,-5.041,-1.68,-5.041,-1.68,0,0,0,3,0,3,0,3,0,1,0,0,0,0,0,NA,NA,0,0,3,NA,0,0,NA,1,0,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Abigale Gerken,1252498,Canterbury Women,2021,Women's Super Smash,1290641,NA,-6.972,-0.697,-6.972,-0.697,0,0,4,10,0,5,0,10,4,1,0,0,0,0,0,NA,NA,0.4,4,10,NA,0,0,NA,0.5,0.4,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Abigale Gerken,1252498,Canterbury Women,2021,Women's Super Smash,1290642,NA,1.032,0.344,1.032,0.344,0,0,4,3,0,0,0,3,4,1,0,0,0,0,0,NA,NA,1.333,4,3,NA,0,0,NA,0,1.333,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Abigale Gerken,1252498,Canterbury Women,2021,Women's Super Smash,1290644,NA,-5.918,-0.348,-5.918,-0.348,0,0,13,17,1,8,0,16,9,1,0,0,0,0,0,NA,NA,0.765,13,17,NA,0.059,0,NA,0.471,0.562,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
