player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,comp_colour_main,comp_colour_secondary,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
AB de Villiers,44936,Brisbane Heat,2019,Big Bash League,16.104,0.156,16.104,0.156,0,0,146,103,14,24,6,92,78,6,NA,NA,0,NA,NA,NA,NA,1.417,24.333,103,NA,0.136,0.058,NA,0.233,0.848,BH,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313466.logo.png,#07abd5,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,#524F51,#EAF41D,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/263700/263764.1.jpg
Aaron Ayre,333639,Melbourne Renegades,2015,Big Bash League,-4.081,-4.081,-4.081,-4.081,0,0,0,1,0,1,0,1,0,1,NA,NA,0,NA,NA,NA,NA,0,0,1,NA,0,0,NA,1,0,MR,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313469.logo.png,#e20808,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,#524F51,#EAF41D,https://www.espncricinfo.com/db/PICTURES/CMS/190600/190641.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/190600/190641.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/190600/190641.1.jpg
Aaron Finch,5334,Melbourne Renegades,2011,Big Bash League,73.489,0.391,73.489,0.391,0,0,259,188,33,69,12,165,103,7,NA,NA,0,NA,NA,NA,NA,1.378,37,188,NA,0.176,0.064,NA,0.367,0.624,MR,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313469.logo.png,#e20808,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,#524F51,#EAF41D,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/304000/304053.jpg
Aaron Finch,5334,Melbourne Renegades,2012,Big Bash League,10.406,0.033,29.69,0.112,-19.285,-0.344,332,264,41,91,8,233,152,5,3,91,56,10,13,9.75,30.333,1.258,66.4,320,0.179,0.155,0.03,0.232,0.345,0.652,MR,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313469.logo.png,#e20808,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,#524F51,#EAF41D,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/304000/304053.jpg
Aaron Finch,5334,Melbourne Renegades,2013,Big Bash League,60.454,0.304,71.44,0.408,-10.986,-0.458,262,175,35,54,12,146,98,5,1,43,24,4,5,10.75,43,1.497,52.4,199,0.167,0.2,0.069,0.208,0.309,0.671,MR,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313469.logo.png,#e20808,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,#524F51,#EAF41D,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/304000/304053.jpg
Aaron Finch,5334,Melbourne Renegades,2014,Big Bash League,7.967,0.061,-0.974,-0.01,8.941,0.288,108,99,14,45,2,87,48,6,0,30,31,1,7,5.806,Inf,1.091,18,130,0.032,0.141,0.02,0.226,0.455,0.552,MR,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313469.logo.png,#e20808,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,#524F51,#EAF41D,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/304000/304053.jpg
Aaron Finch,5334,Melbourne Renegades,2015,Big Bash League,70,0.387,71.357,0.417,-1.357,-0.136,247,171,37,56,7,142,85,5,0,13,10,1,1,7.8,Inf,1.444,49.4,181,0.1,0.216,0.041,0.1,0.327,0.599,MR,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313469.logo.png,#e20808,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,#524F51,#EAF41D,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/304000/304053.jpg
Aaron Finch,5334,Melbourne Renegades,2016,Big Bash League,142.5,0.617,137.048,0.626,5.453,0.454,354,219,44,55,15,184,148,8,2,17,12,1,3,8.5,8.5,1.616,44.25,231,0.083,0.201,0.068,0.25,0.251,0.804,MR,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313469.logo.png,#e20808,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,#524F51,#EAF41D,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/304000/304053.jpg
Aaron Finch,5334,Melbourne Renegades,2017,Big Bash League,3.316,0.039,0.662,0.008,2.654,0.442,108,79,18,32,3,65,30,6,0,5,6,0,2,5,Inf,1.367,18,85,0,0.228,0.038,0.333,0.405,0.462,MR,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313469.logo.png,#e20808,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,#524F51,#EAF41D,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/304000/304053.jpg
Aaron Finch,5334,Melbourne Renegades,2018,Big Bash League,-1.383,-0.008,-1.383,-0.008,0,0,220,184,26,64,8,167,100,8,NA,NA,0,NA,NA,NA,NA,1.196,27.5,184,NA,0.141,0.043,NA,0.348,0.599,MR,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313469.logo.png,#e20808,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,#524F51,#EAF41D,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/304000/304053.jpg
