player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,comp_colour_main,comp_colour_secondary,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Akeal Hosein,530812,Trinbago Knight Riders,2023,Caribbean Premier League,34.286,0.121,-21.974,-0.372,56.26,0.251,63,59,6,22,3,55,33,4,8,262,224,34,103,7.018,32.75,1.068,15.75,283,0.152,0.102,0.051,0.46,0.373,0.6,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321939.png,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321939.png,https://www.espncricinfo.com/db/PICTURES/CMS/326100/326139.4.jpg
Akeem Jordan,1161669,Barbados Royals,2023,Caribbean Premier League,-29.343,-1.956,0,0,-29.343,-1.956,NA,0,NA,NA,NA,NA,NA,NA,1,25,15,4,4,10,25,NA,NA,15,0.267,NA,NA,0.267,NA,NA,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/373800/373897.png,https://www.espncricinfo.com/db/PICTURES/CMS/373800/373897.png,https://www.espncricinfo.com/db/PICTURES/CMS/364900/364943.4.jpg
Alex Hales,249866,Jamaica Tallawahs,2023,Caribbean Premier League,69.113,0.467,69.113,0.467,0,0,217,148,35,59,9,119,59,6,NA,NA,0,NA,NA,NA,NA,1.466,36.167,148,NA,0.236,0.061,NA,0.399,0.496,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316604.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316604.png,https://www.espncricinfo.com/db/PICTURES/CMS/304300/304332.jpg
Ali Khan,927119,Trinbago Knight Riders,2023,Caribbean Premier League,-49.804,-0.236,-7.002,-0.875,-42.802,-0.211,8,8,1,4,0,7,4,2,9,298,203,39,61,8.808,33.111,1,4,211,0.192,0.125,0,0.3,0.5,0.571,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/321100/321124.png,https://www.espncricinfo.com/db/PICTURES/CMS/321100/321124.png,https://www.espncricinfo.com/db/PICTURES/CMS/339500/339504.4.jpg
Alick Athanaze,1078692,Barbados Royals,2023,Caribbean Premier League,-24.385,-0.161,-24.385,-0.161,0,0,165,151,19,61,5,143,79,7,NA,NA,0,NA,NA,NA,NA,1.093,23.571,151,NA,0.126,0.033,NA,0.404,0.552,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alzarri Joseph,670031,St Lucia Kings,2023,Caribbean Premier League,34.443,0.154,-8.748,-0.336,43.191,0.219,24,26,3,14,1,24,10,2,13,228,197,27,90,6.944,17.538,0.923,12,223,0.137,0.115,0.038,0.457,0.538,0.417,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321943.png,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321943.png,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321943.png
Ambati Rayudu,33141,St Kitts and Nevis Patriots,2023,Caribbean Premier League,-5.526,-0.138,-5.526,-0.138,0,0,47,40,6,16,3,37,17,3,NA,NA,0,NA,NA,NA,NA,1.175,15.667,40,NA,0.15,0.075,NA,0.4,0.459,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/316400/316499.png,https://www.espncricinfo.com/db/PICTURES/CMS/316400/316499.png,https://www.espncricinfo.com/db/PICTURES/CMS/309000/309096.png
Amir Jangoo,820681,Jamaica Tallawahs,2023,Caribbean Premier League,-28.555,-0.751,-28.555,-0.751,0,0,31,38,3,23,3,35,13,3,NA,NA,0,NA,NA,NA,NA,0.816,10.333,38,NA,0.079,0.079,NA,0.605,0.371,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/203700/203709.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/203700/203709.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/203700/203709.1.jpg
Andre Fletcher,51862,St Kitts and Nevis Patriots,2023,Caribbean Premier League,72.354,0.375,72.354,0.375,0,0,278,193,42,80,13,163,83,7,NA,NA,0,NA,NA,NA,NA,1.44,39.714,193,NA,0.218,0.067,NA,0.415,0.509,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321976.png,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321976.png,https://www.espncricinfo.com/db/PICTURES/CMS/238300/238341.jpg
Andre Russell,276298,Trinbago Knight Riders,2023,Caribbean Premier League,4.246,0.016,20.29,0.225,-16.044,-0.096,145,90,22,44,15,75,27,6,11,235,168,28,58,8.393,21.364,1.611,24.167,258,0.167,0.244,0.167,0.345,0.489,0.36,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316615.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316615.png,https://www.espncricinfo.com/db/PICTURES/CMS/308900/308972.png
Ashmead Nedd,1131647,St Kitts and Nevis Patriots,2023,Caribbean Premier League,0.636,0.009,0,0,0.636,0.009,NA,0,NA,NA,NA,NA,NA,NA,6,76,67,9,31,6.806,12.667,NA,NA,67,0.134,NA,NA,0.463,NA,NA,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/326100/326129.png,https://www.espncricinfo.com/db/PICTURES/CMS/326100/326129.png,https://www.espncricinfo.com/db/PICTURES/CMS/326100/326130.4.jpg
Azam Khan,1137262,Guyana Amazon Warriors,2023,Caribbean Premier League,21.156,0.159,21.156,0.159,0,0,203,133,33,57,14,106,43,10,NA,NA,0,NA,NA,NA,NA,1.526,20.3,133,NA,0.248,0.105,NA,0.429,0.406,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/326500/326525.png,https://www.espncricinfo.com/db/PICTURES/CMS/326500/326525.png,https://www.espncricinfo.com/db/PICTURES/CMS/325300/325358.4.jpg
Benny Howell,211748,St Kitts and Nevis Patriots,2023,Caribbean Premier League,-24.064,-0.33,-8.034,-1.607,-16.03,-0.236,3,5,0,2,0,5,3,2,2,103,68,10,17,9.088,51.5,0.6,1.5,73,0.147,0,0,0.25,0.4,0.6,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324228.png,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324228.png,https://www.espncricinfo.com/db/PICTURES/CMS/131300/131343.1.jpg
