player,cricinfo_id,team,season,competition,match_id,custom_match_id,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,comp_colour_main,comp_colour_secondary,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Akeal Hosein,530812,Trinbago Knight Riders,2023,Caribbean Premier League,1369566,CPL_SLK_TKR_2023-08-26,29.931,0.831,-4.213,-0.351,34.144,1.423,12,12,1,4,0,11,8,1,0,22,24,3,12,5.5,Inf,1,12,36,0.125,0.083,0,0.5,0.333,0.727,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321939.png,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321939.png,https://www.espncricinfo.com/db/PICTURES/CMS/326100/326139.4.jpg
Akeal Hosein,530812,Trinbago Knight Riders,2023,Caribbean Premier League,1369569,CPL_STKNP_TKR_2023-08-27,2.895,0.161,0,0,2.895,0.161,0,0,0,0,0,0,0,0,0,30,18,5,8,10,Inf,NA,NA,18,0.278,NA,NA,0.444,NA,NA,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321939.png,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321939.png,https://www.espncricinfo.com/db/PICTURES/CMS/326100/326139.4.jpg
Akeal Hosein,530812,Trinbago Knight Riders,2023,Caribbean Premier League,1369570,CPL_BR_TKR_2023-08-30,15.273,0.636,0,0,15.273,0.636,0,0,0,0,0,0,0,0,2,16,24,1,16,4,8,NA,NA,24,0.042,NA,NA,0.667,NA,NA,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321939.png,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321939.png,https://www.espncricinfo.com/db/PICTURES/CMS/326100/326139.4.jpg
Akeal Hosein,530812,Trinbago Knight Riders,2023,Caribbean Premier League,1369574,CPL_JT_TKR_2023-09-03,-5.369,-0.244,-2.293,-0.573,-3.077,-0.171,3,4,0,1,0,4,3,0,0,23,18,4,10,7.667,Inf,0.75,Inf,22,0.222,0,0,0.556,0.25,0.75,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321939.png,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321939.png,https://www.espncricinfo.com/db/PICTURES/CMS/326100/326139.4.jpg
Akeal Hosein,530812,Trinbago Knight Riders,2023,Caribbean Premier League,1369576,CPL_GAW_TKR_2023-09-05,-7.25,-0.154,2.423,0.069,-9.673,-0.806,44,35,5,12,3,31,18,0,0,25,12,4,3,12.5,Inf,1.257,Inf,47,0.333,0.143,0.086,0.25,0.343,0.581,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321939.png,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321939.png,https://www.espncricinfo.com/db/PICTURES/CMS/326100/326139.4.jpg
Akeal Hosein,530812,Trinbago Knight Riders,2023,Caribbean Premier League,1369577,CPL_BR_TKR_2023-09-06,0.002,0,-6.106,-2.035,6.108,0.305,1,3,0,2,0,4,1,1,2,21,20,2,8,6.3,10.5,0.333,1,23,0.1,0,0,0.4,0.667,0.25,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321939.png,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321939.png,https://www.espncricinfo.com/db/PICTURES/CMS/326100/326139.4.jpg
Akeal Hosein,530812,Trinbago Knight Riders,2023,Caribbean Premier League,1369579,CPL_JT_TKR_2023-09-09,10.775,0.599,0,0,10.775,0.599,0,0,0,0,0,0,0,0,1,14,18,0,9,4.667,14,NA,NA,18,0,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321939.png,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321939.png,https://www.espncricinfo.com/db/PICTURES/CMS/326100/326139.4.jpg
Akeal Hosein,530812,Trinbago Knight Riders,2023,Caribbean Premier League,1369581,CPL_SLK_TKR_2023-09-10,-0.727,-0.03,0,0,-0.727,-0.03,0,0,0,0,0,0,0,0,0,30,24,4,9,7.5,Inf,NA,NA,24,0.167,NA,NA,0.375,NA,NA,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321939.png,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321939.png,https://www.espncricinfo.com/db/PICTURES/CMS/326100/326139.4.jpg
Akeal Hosein,530812,Trinbago Knight Riders,2023,Caribbean Premier League,1369585,CPL_GAW_TKR_2023-09-16,-9.418,-0.349,-7.26,-2.42,-2.158,-0.09,2,3,0,2,0,3,2,1,1,32,24,4,8,8,32,0.667,2,27,0.167,0,0,0.333,0.667,0.667,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321939.png,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321939.png,https://www.espncricinfo.com/db/PICTURES/CMS/326100/326139.4.jpg
Akeal Hosein,530812,Trinbago Knight Riders,2023,Caribbean Premier League,1369589,CPL_GAW_TKR_2023-09-20,-4.557,-0.253,0,0,-4.557,-0.253,0,0,0,0,0,0,0,0,1,28,18,5,9,9.333,28,NA,NA,18,0.278,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321939.png,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321939.png,https://www.espncricinfo.com/db/PICTURES/CMS/326100/326139.4.jpg
