player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
AB de Villiers,44936,South Africa,2007,ICC Men's T20 World Cup,-8.854,-0.188,-8.854,-0.188,0,0,50,47,7,22,1,46,20,4,NA,NA,0,NA,NA,NA,NA,1.064,12.5,47,NA,0.149,0.021,NA,0.468,0.435,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/263700/263764.1.jpg
AB de Villiers,44936,South Africa,2009,ICC Men's T20 World Cup,43.733,0.368,43.733,0.368,0,0,186,119,22,32,6,98,86,5,NA,NA,0,NA,NA,NA,NA,1.563,37.2,119,NA,0.185,0.05,NA,0.269,0.878,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/263700/263764.1.jpg
AB de Villiers,44936,South Africa,2010,ICC Men's T20 World Cup,-9.816,-0.079,-9.816,-0.079,0,0,153,125,12,38,8,114,89,4,NA,NA,0,NA,NA,NA,NA,1.224,38.25,125,NA,0.096,0.064,NA,0.304,0.781,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/263700/263764.1.jpg
AB de Villiers,44936,South Africa,2012,ICC Men's T20 World Cup,4.056,0.06,4.056,0.06,0,0,89,68,8,19,3,63,51,4,NA,NA,0,NA,NA,NA,NA,1.309,22.25,68,NA,0.118,0.044,NA,0.279,0.81,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/263700/263764.1.jpg
AB de Villiers,44936,South Africa,2013,ICC Men's T20 World Cup,26.422,0.339,26.422,0.339,0,0,129,78,18,20,3,63,51,4,NA,NA,0,NA,NA,NA,NA,1.654,32.25,78,NA,0.231,0.038,NA,0.256,0.81,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/263700/263764.1.jpg
AB de Villiers,44936,South Africa,2015,ICC Men's T20 World Cup,35.819,0.587,35.819,0.587,0,0,110,61,14,15,9,51,36,3,NA,NA,0,NA,NA,NA,NA,1.803,36.667,61,NA,0.23,0.148,NA,0.246,0.706,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/263700/263764.1.jpg
Aamir Kaleem,455463,Oman,2015,ICC Men's T20 World Cup,-14.683,-0.42,-10.404,-2.081,-4.279,-0.143,0,5,0,5,0,5,0,2,1,42,30,5,7,8.4,42,0,0,35,0.167,0,0,0.233,1,0,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/321700/321786.png,https://www.espncricinfo.com/db/PICTURES/CMS/321700/321786.png,https://www.espncricinfo.com/db/PICTURES/CMS/238100/238117.jpg
Aaron Finch,5334,Australia,2013,ICC Men's T20 World Cup,16.089,0.127,29.697,0.245,-13.608,-2.268,158,121,24,48,7,98,48,4,0,18,6,3,1,18,Inf,1.306,39.5,127,0.5,0.198,0.058,0.167,0.397,0.49,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/304000/304053.jpg
Aaron Finch,5334,Australia,2015,ICC Men's T20 World Cup,-5.706,-0.116,-5.706,-0.116,0,0,58,49,6,18,2,48,30,2,NA,NA,0,NA,NA,NA,NA,1.184,29,49,NA,0.122,0.041,NA,0.367,0.625,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/304000/304053.jpg
Aaron Finch,5334,Australia,2021,ICC Men's T20 World Cup,-21.311,-0.187,-21.311,-0.187,0,0,135,114,19,55,6,100,47,7,NA,NA,0,NA,NA,NA,NA,1.184,19.286,114,NA,0.167,0.053,NA,0.482,0.47,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/304000/304053.jpg
