player,cricinfo_id,team,season,competition,match_id,custom_match_id,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Aaron Johnson,1323683,Canada,2024,ICC Men's T20 World Cup,1415701,ICCMTWC_USA_CAN_2024-06-01,-20.701,-1.294,-20.701,-1.294,0,0,23,16,5,6,0,11,3,1,0,0,0,0,0,NA,NA,1.438,23,16,NA,0.312,0,NA,0.375,0.273,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Aaron Jones,957645,United States of America,2024,ICC Men's T20 World Cup,1415701,ICCMTWC_USA_CAN_2024-06-01,43.456,1.086,43.456,1.086,0,0,94,40,14,10,10,30,18,0,0,0,0,0,0,NA,NA,2.35,Inf,40,NA,0.35,0.25,NA,0.25,0.6,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/286800/286882.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/286800/286882.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/286800/286882.1.jpg
Ali Khan,927119,United States of America,2024,ICC Men's T20 World Cup,1415701,ICCMTWC_USA_CAN_2024-06-01,21.012,0.808,0,0,21.012,0.808,0,0,0,0,0,0,0,0,1,48,26,7,7,11.077,48,NA,NA,26,0.269,NA,NA,0.269,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/321100/321124.png,https://www.espncricinfo.com/db/PICTURES/CMS/321100/321124.png,https://www.espncricinfo.com/db/PICTURES/CMS/339500/339504.4.jpg
Andries Gous,485379,United States of America,2024,ICC Men's T20 World Cup,1415701,ICCMTWC_USA_CAN_2024-06-01,12.461,0.29,12.461,0.29,0,0,65,43,10,15,3,41,19,1,0,0,0,0,0,NA,NA,1.512,65,43,NA,0.233,0.07,NA,0.349,0.463,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Corey Anderson,277662,United States of America,2024,ICC Men's T20 World Cup,1415701,ICCMTWC_USA_CAN_2024-06-01,-5.101,-0.222,-2.317,-0.463,-2.784,-0.155,3,5,0,2,0,5,3,0,2,29,18,3,4,9.667,14.5,0.6,Inf,23,0.167,0,0,0.222,0.4,0.6,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316617.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316617.png,https://www.espncricinfo.com/db/PICTURES/CMS/303600/303609.jpg
Dilon Heyliger,1061467,Canada,2024,ICC Men's T20 World Cup,1415701,ICCMTWC_USA_CAN_2024-06-01,5.719,0.272,-0.318,-0.318,6.037,0.302,1,1,0,0,0,1,1,0,1,19,20,1,9,5.7,19,1,Inf,21,0.05,0,0,0.45,0,1,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/321200/321263.png,https://www.espncricinfo.com/db/PICTURES/CMS/321200/321263.png,https://www.espncricinfo.com/db/PICTURES/CMS/262500/262569.1.jpg
Dilpreet Bajwa,1229251,Canada,2024,ICC Men's T20 World Cup,1415701,ICCMTWC_USA_CAN_2024-06-01,3.262,0.652,3.262,0.652,0,0,11,5,2,2,1,3,1,1,0,0,0,0,0,NA,NA,2.2,11,5,NA,0.4,0.2,NA,0.4,0.333,NA,NA,NA,NA,NA,NA,NA
Harmeet Singh,422847,United States of America,2024,ICC Men's T20 World Cup,1415701,ICCMTWC_USA_CAN_2024-06-01,9.971,0.415,0,0,9.971,0.415,0,0,0,0,0,0,0,0,1,27,24,4,11,6.75,27,NA,NA,24,0.167,NA,NA,0.458,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/148400/148408.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/148400/148408.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/148400/148408.jpg
Jasdeep Singh,772471,United States of America,2024,ICC Men's T20 World Cup,1415701,ICCMTWC_USA_CAN_2024-06-01,-0.837,-0.047,0,0,-0.837,-0.047,0,0,0,0,0,0,0,0,0,25,18,4,6,8.333,Inf,NA,NA,18,0.222,NA,NA,0.333,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/340300/340317.png,https://www.espncricinfo.com/db/PICTURES/CMS/340300/340317.png,https://www.espncricinfo.com/db/PICTURES/CMS/339500/339518.4.jpg
Jeremy Gordon,276370,Canada,2024,ICC Men's T20 World Cup,1415701,ICCMTWC_USA_CAN_2024-06-01,-15.188,-0.66,0,0,-15.188,-0.66,0,0,0,0,0,0,0,0,0,44,23,7,7,11.478,Inf,NA,NA,23,0.304,NA,NA,0.304,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/321200/321273.png,https://www.espncricinfo.com/db/PICTURES/CMS/321200/321273.png,https://www.espncricinfo.com/db/PICTURES/CMS/141500/141509.1.jpg
