player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,comp_colour_main,comp_colour_secondary,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Aaliyah Alleyne,661441,West Indies Women,2019,ICC Women's T20 World Cup,-4.372,-0.23,2.095,0.299,-6.467,-0.539,10,7,2,2,0,6,2,1,0,18,12,3,4,9,Inf,1.429,10,19,0.25,0.286,0,0.333,0.286,0.333,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/c/c6/2024_ICC_Women%27s_T20_World_Cup_logo.svg,#10044A,#FF002B,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321671.png,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321671.png,https://www.espncricinfo.com/db/PICTURES/CMS/306100/306128.png
Aaliyah Alleyne,661441,West Indies Women,2022,ICC Women's T20 World Cup,-9.038,-0.565,-4.636,-0.464,-4.402,-0.734,9,10,1,2,0,9,5,1,0,10,6,1,1,10,Inf,0.9,9,16,0.167,0.1,0,0.167,0.2,0.556,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/c/c6/2024_ICC_Women%27s_T20_World_Cup_logo.svg,#10044A,#FF002B,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321671.png,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321671.png,https://www.espncricinfo.com/db/PICTURES/CMS/306100/306128.png
Aaliyah Alleyne,661441,West Indies Women,2024,ICC Women's T20 World Cup,4.191,0.046,-3.353,-0.146,7.543,0.109,19,23,2,11,0,22,11,2,2,70,69,8,27,6.087,35,0.826,9.5,92,0.116,0.087,0,0.391,0.478,0.5,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/c/c6/2024_ICC_Women%27s_T20_World_Cup_logo.svg,#10044A,#FF002B,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321671.png,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321671.png,https://www.espncricinfo.com/db/PICTURES/CMS/306100/306128.png
Abtaha Maqsood,934494,Scotland Women,2024,ICC Women's T20 World Cup,-29.953,-0.352,-5.967,-0.398,-23.987,-0.343,9,15,0,7,0,17,9,1,0,93,70,10,22,7.971,Inf,0.6,9,85,0.143,0,0,0.314,0.467,0.529,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/c/c6/2024_ICC_Women%27s_T20_World_Cup_logo.svg,#10044A,#FF002B,https://www.espncricinfo.com/db/PICTURES/CMS/326500/326516.png,https://www.espncricinfo.com/db/PICTURES/CMS/326500/326516.png,https://www.espncricinfo.com/db/PICTURES/CMS/227600/227675.1.jpg
Achini Kulasuriya,557731,Sri Lanka Women,2019,ICC Women's T20 World Cup,-3.637,-0.098,-0.045,-0.045,-3.591,-0.1,1,1,0,0,0,1,1,NA,2,45,36,7,15,7.5,22.5,1,NA,37,0.194,0,0,0.417,0,1,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/c/c6/2024_ICC_Women%27s_T20_World_Cup_logo.svg,#10044A,#FF002B,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322132.png,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322132.png,https://www.espncricinfo.com/db/PICTURES/CMS/302800/302855.jpg
Achini Kulasuriya,557731,Sri Lanka Women,2022,ICC Women's T20 World Cup,-8.26,-0.14,0,0,-8.26,-0.14,NA,0,NA,NA,NA,NA,NA,NA,1,70,59,10,25,7.119,70,NA,NA,59,0.169,NA,NA,0.424,NA,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/c/c6/2024_ICC_Women%27s_T20_World_Cup_logo.svg,#10044A,#FF002B,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322132.png,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322132.png,https://www.espncricinfo.com/db/PICTURES/CMS/302800/302855.jpg
Afy Fletcher,355351,West Indies Women,2019,ICC Women's T20 World Cup,2.371,0.035,-3.746,-0.624,6.117,0.099,6,6,1,4,0,5,2,2,4,65,62,6,20,6.29,16.25,1,3,68,0.097,0.167,0,0.323,0.667,0.4,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/c/c6/2024_ICC_Women%27s_T20_World_Cup_logo.svg,#10044A,#FF002B,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320593.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320593.png,https://www.espncricinfo.com/db/PICTURES/CMS/306100/306129.png
Afy Fletcher,355351,West Indies Women,2022,ICC Women's T20 World Cup,-1.388,-0.016,2.453,0.273,-3.842,-0.048,14,9,1,2,0,8,10,2,4,94,80,10,28,7.05,23.5,1.556,7,89,0.125,0.111,0,0.35,0.222,1.25,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/c/c6/2024_ICC_Women%27s_T20_World_Cup_logo.svg,#10044A,#FF002B,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320593.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320593.png,https://www.espncricinfo.com/db/PICTURES/CMS/306100/306129.png
Afy Fletcher,355351,West Indies Women,2024,ICC Women's T20 World Cup,27.156,0.236,1.732,0.115,25.424,0.254,17,15,1,3,0,14,13,NA,9,101,100,8,36,6.06,11.222,1.133,NA,115,0.08,0.067,0,0.36,0.2,0.929,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/c/c6/2024_ICC_Women%27s_T20_World_Cup_logo.svg,#10044A,#FF002B,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320593.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320593.png,https://www.espncricinfo.com/db/PICTURES/CMS/306100/306129.png
Afy Fletcher,355351,West Indies Women,2018,ICC Women's World T20,3.665,0.037,-4.633,-0.579,8.298,0.091,6,8,0,2,0,8,6,1,4,89,91,7,34,5.868,22.25,0.75,6,99,0.077,0,0,0.374,0.25,0.75,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320593.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320593.png,https://www.espncricinfo.com/db/PICTURES/CMS/306100/306129.png
Afy Fletcher,355351,West Indies Women,2015,Women's World T20,30.757,0.311,0,0,30.757,0.311,NA,0,NA,NA,NA,NA,NA,NA,8,80,99,6,40,4.848,10,NA,NA,99,0.061,NA,NA,0.404,NA,NA,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320593.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320593.png,https://www.espncricinfo.com/db/PICTURES/CMS/306100/306129.png
Ailsa Lister,1184173,Scotland Women,2024,ICC Women's T20 World Cup,-17.489,-0.287,-17.489,-0.287,0,0,50,61,3,30,1,58,36,3,NA,NA,0,NA,NA,NA,NA,0.82,16.667,61,NA,0.049,0.016,NA,0.492,0.621,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/c/c6/2024_ICC_Women%27s_T20_World_Cup_logo.svg,#10044A,#FF002B,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Aiman Anwer,941805,Pakistan Women,2019,ICC Women's T20 World Cup,-18.311,-0.226,-1.314,-0.219,-16.997,-0.227,3,6,0,3,0,7,3,NA,6,106,75,14,22,8.48,17.667,0.5,NA,81,0.187,0,0,0.293,0.5,0.429,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/c/c6/2024_ICC_Women%27s_T20_World_Cup_logo.svg,#10044A,#FF002B,https://www.espncricinfo.com/db/PICTURES/CMS/326400/326495.png,https://www.espncricinfo.com/db/PICTURES/CMS/326400/326495.png,https://www.espncricinfo.com/db/PICTURES/CMS/325600/325605.3.jpg
Aiman Anwer,941805,Pakistan Women,2022,ICC Women's T20 World Cup,-22.586,-0.627,0,0,-22.586,-0.627,NA,0,NA,NA,NA,NA,NA,NA,0,59,36,8,7,9.833,Inf,NA,NA,36,0.222,NA,NA,0.194,NA,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/c/c6/2024_ICC_Women%27s_T20_World_Cup_logo.svg,#10044A,#FF002B,https://www.espncricinfo.com/db/PICTURES/CMS/326400/326495.png,https://www.espncricinfo.com/db/PICTURES/CMS/326400/326495.png,https://www.espncricinfo.com/db/PICTURES/CMS/325600/325605.3.jpg
Aiman Anwer,941805,Pakistan Women,2018,ICC Women's World T20,0.535,0.01,-0.574,-0.115,1.108,0.022,4,5,0,1,0,5,4,NA,3,59,50,6,19,7.08,19.667,0.8,NA,55,0.12,0,0,0.38,0.2,0.8,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/326400/326495.png,https://www.espncricinfo.com/db/PICTURES/CMS/326400/326495.png,https://www.espncricinfo.com/db/PICTURES/CMS/325600/325605.3.jpg
Alana King,944393,Australia Women,2022,ICC Women's T20 World Cup,-8.07,-0.124,-4.548,-1.516,-3.521,-0.057,1,3,0,2,0,3,1,1,0,68,62,6,21,6.581,Inf,0.333,1,65,0.097,0,0,0.339,0.667,0.333,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/c/c6/2024_ICC_Women%27s_T20_World_Cup_logo.svg,#10044A,#FF002B,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337190.png,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337190.png,https://www.espncricinfo.com/db/PICTURES/CMS/334800/334893.4.jpg
Alex Blackwell,53677,Australia Women,2012,ICC Women's World Twenty20,-18.978,-0.253,-18.978,-0.253,0,0,66,75,3,23,0,72,54,4,NA,NA,0,NA,NA,NA,NA,0.88,16.5,75,NA,0.04,0,NA,0.307,0.75,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320124.png,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320124.png,https://www.espncricinfo.com/db/PICTURES/CMS/150200/150223.1.jpg
Alex Blackwell,53677,Australia Women,2013,Women's World T20,-14.674,-0.167,-14.674,-0.167,0,0,80,88,5,27,0,86,60,4,NA,NA,0,NA,NA,NA,NA,0.909,20,88,NA,0.057,0,NA,0.307,0.698,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320124.png,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320124.png,https://www.espncricinfo.com/db/PICTURES/CMS/150200/150223.1.jpg
