player,cricinfo_id,team,season,competition,match_id,custom_match_id,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Aaliyah Alleyne,661441,West Indies Women,2019,ICC Women's T20 World Cup,1173063,ICCWTWC_WI-W_ENG-W_2020-03-01,-4.372,-0.219,2.095,0.262,-6.467,-0.539,10,8,2,2,0,6,2,1,0,18,12,3,4,9,Inf,1.25,10,20,0.25,0.25,0,0.333,0.25,0.333,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321671.png,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321671.png,https://www.espncricinfo.com/db/PICTURES/CMS/306100/306128.png
Aaliyah Alleyne,661441,West Indies Women,2022,ICC Women's T20 World Cup,1338052,ICCWTWC_WI-W_IRE-W_2023-02-17,-4.347,-0.621,0.055,0.055,-4.402,-0.734,0,1,0,0,0,1,0,0,0,10,6,1,1,10,Inf,0,NA,7,0.167,0,0,0.167,0,0,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321671.png,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321671.png,https://www.espncricinfo.com/db/PICTURES/CMS/306100/306128.png
Aaliyah Alleyne,661441,West Indies Women,2022,ICC Women's T20 World Cup,1338055,ICCWTWC_PAK-W_WI-W_2023-02-19,-4.691,-0.521,-4.691,-0.521,0,0,9,9,1,2,0,8,5,1,0,0,0,0,0,NA,NA,1,9,9,NA,0.111,0,NA,0.222,0.625,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321671.png,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321671.png,https://www.espncricinfo.com/db/PICTURES/CMS/306100/306128.png
Achini Kulasuriya,557731,Sri Lanka Women,2019,ICC Women's T20 World Cup,1173050,ICCWTWC_NZ-W_SL-W_2020-02-22,-8.649,-0.481,-0.045,-0.045,-8.604,-0.506,1,1,0,0,0,1,1,0,0,26,17,4,6,9.176,Inf,1,Inf,18,0.235,0,0,0.353,0,1,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322132.png,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322132.png,https://www.espncricinfo.com/db/PICTURES/CMS/302800/302855.jpg
Achini Kulasuriya,557731,Sri Lanka Women,2019,ICC Women's T20 World Cup,1173064,ICCWTWC_SL-W_BAN-W_2020-03-02,5.012,0.264,0,0,5.012,0.264,0,0,0,0,0,0,0,0,2,19,19,3,9,6,9.5,NA,NA,19,0.158,NA,NA,0.474,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322132.png,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322132.png,https://www.espncricinfo.com/db/PICTURES/CMS/302800/302855.jpg
Achini Kulasuriya,557731,Sri Lanka Women,2022,ICC Women's T20 World Cup,1338040,ICCWTWC_SA-W_SL-W_2023-02-10,0.593,0.028,0,0,0.593,0.028,0,0,0,0,0,0,0,0,0,18,21,2,11,5.143,Inf,NA,NA,21,0.095,NA,NA,0.524,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322132.png,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322132.png,https://www.espncricinfo.com/db/PICTURES/CMS/302800/302855.jpg
Achini Kulasuriya,557731,Sri Lanka Women,2022,ICC Women's T20 World Cup,1338044,ICCWTWC_SL-W_BAN-W_2023-02-12,-5.344,-0.445,0,0,-5.344,-0.445,0,0,0,0,0,0,0,0,0,16,12,4,8,8,Inf,NA,NA,12,0.333,NA,NA,0.667,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322132.png,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322132.png,https://www.espncricinfo.com/db/PICTURES/CMS/302800/302855.jpg
Achini Kulasuriya,557731,Sri Lanka Women,2022,ICC Women's T20 World Cup,1338050,ICCWTWC_AUS-W_SL-W_2023-02-16,-8.382,-0.645,0,0,-8.382,-0.645,0,0,0,0,0,0,0,0,0,22,13,2,0,10.154,Inf,NA,NA,13,0.154,NA,NA,0,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322132.png,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322132.png,https://www.espncricinfo.com/db/PICTURES/CMS/302800/302855.jpg
Achini Kulasuriya,557731,Sri Lanka Women,2022,ICC Women's T20 World Cup,1338056,ICCWTWC_SL-W_NZ-W_2023-02-19,4.873,0.375,0,0,4.873,0.375,0,0,0,0,0,0,0,0,1,14,13,2,6,6.462,14,NA,NA,13,0.154,NA,NA,0.462,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322132.png,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322132.png,https://www.espncricinfo.com/db/PICTURES/CMS/302800/302855.jpg
Afy Fletcher,355351,West Indies Women,2019,ICC Women's T20 World Cup,1173049,ICCWTWC_WI-W_THI-W_2020-02-22,12.321,0.648,0,0,12.321,0.648,0,0,0,0,0,0,0,0,2,11,19,0,8,3.474,5.5,NA,NA,19,0,NA,NA,0.421,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320593.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320593.png,https://www.espncricinfo.com/db/PICTURES/CMS/306100/306129.png
