player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Aayan Afzal Khan,1241265,Gulf Giants,2023,International League T20,4.786,0.111,-8.605,-0.453,13.391,0.558,15,19,2,12,1,18,5,2,2,21,24,1,10,5.25,10.5,0.789,7.5,43,0.042,0.105,0.053,0.417,0.632,0.278,GG,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349621.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/354900/354956.png,https://www.espncricinfo.com/db/PICTURES/CMS/354900/354956.png,https://www.espncricinfo.com/db/PICTURES/CMS/348600/348618.4.jpg
Aayan Afzal Khan,1241265,Gulf Giants,2024,International League T20,-7.585,-0.074,-15.957,-0.887,8.373,0.099,11,18,0,9,0,19,11,1,5,99,85,10,34,6.988,19.8,0.611,11,103,0.118,0,0,0.4,0.5,0.579,GG,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349621.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/354900/354956.png,https://www.espncricinfo.com/db/PICTURES/CMS/354900/354956.png,https://www.espncricinfo.com/db/PICTURES/CMS/348600/348618.4.jpg
Adam Hose,525992,Desert Vipers,2024,International League T20,-3.869,-0.033,-3.869,-0.033,0,0,147,119,17,43,4,107,71,7,NA,NA,0,NA,NA,NA,NA,1.235,21,119,NA,0.143,0.034,NA,0.361,0.664,DV,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349618.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324227.png,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324227.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Adam Hose,525992,Sharjah Warriors,2023,International League T20,-3.654,-0.135,-3.654,-0.135,0,0,32,27,3,8,1,24,18,2,NA,NA,0,NA,NA,NA,NA,1.185,16,27,NA,0.111,0.037,NA,0.296,0.75,SW,https://www.espncricinfo.com/db/PICTURES/CMS/374200/374264.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324227.png,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324227.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Adam Lyth,251721,Desert Vipers,2023,International League T20,-4.003,-0.308,-4.003,-0.308,0,0,13,13,1,6,0,12,9,1,NA,NA,0,NA,NA,NA,NA,1,13,13,NA,0.077,0,NA,0.462,0.75,DV,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349618.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/322800/322853.png,https://www.espncricinfo.com/db/PICTURES/CMS/322800/322853.png,https://www.espncricinfo.com/db/PICTURES/CMS/304300/304333.jpg
Adam Zampa,379504,Dubai Capitals,2023,International League T20,87.549,0.834,4.166,0.521,83.382,0.86,14,8,2,1,0,6,6,NA,9,77,97,3,38,4.763,8.556,1.75,NA,105,0.031,0.25,0,0.392,0.125,1,DC,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349619.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321549.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321549.png,https://www.espncricinfo.com/db/PICTURES/CMS/263500/263543.1.jpg
Adil Rashid,244497,Sharjah Warriors,2024,International League T20,18.183,0.253,-16.022,-1.001,34.205,0.611,10,16,0,7,0,16,10,2,4,47,56,3,22,5.036,11.75,0.625,5,72,0.054,0,0,0.393,0.438,0.625,SW,https://www.espncricinfo.com/db/PICTURES/CMS/374200/374264.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/319700/319741.png,https://www.espncricinfo.com/db/PICTURES/CMS/319700/319741.png,https://www.espncricinfo.com/db/PICTURES/CMS/289600/289662.1.jpg
Akeal Hosein,530812,Abu Dhabi Knight Riders,2023,International League T20,-84.485,-0.304,-58.544,-0.915,-25.941,-0.121,38,64,2,38,2,69,26,5,8,264,214,29,89,7.402,33,0.594,7.6,278,0.136,0.031,0.031,0.416,0.594,0.377,ADKR,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349617.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321939.png,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321939.png,https://www.espncricinfo.com/db/PICTURES/CMS/326100/326139.4.jpg
Akeal Hosein,530812,MI Emirates,2024,International League T20,2.693,0.011,-25.511,-0.622,28.204,0.133,31,41,3,20,0,40,19,4,12,221,212,22,96,6.255,18.417,0.756,7.75,253,0.104,0.073,0,0.453,0.488,0.475,MIE,https://www.espncricinfo.com/db/PICTURES/CMS/344000/344077.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321939.png,https://www.espncricinfo.com/db/PICTURES/CMS/321900/321939.png,https://www.espncricinfo.com/db/PICTURES/CMS/326100/326139.4.jpg
Akif Raja,681067,Dubai Capitals,2023,International League T20,15.029,0.089,-4.714,-2.357,19.743,0.118,0,2,0,2,0,2,0,1,9,215,167,22,47,7.725,23.889,0,0,169,0.132,0,0,0.281,1,0,DC,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349619.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
