player,cricinfo_id,team,season,competition,match_id,custom_match_id,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Aayan Afzal Khan,1241265,Gulf Giants,2023,International League T20,1346929,ILT_GG_SW_2023-01-23,-7.766,-1.294,-7.766,-1.294,0,0,1,6,0,5,0,6,1,1,0,0,0,0,0,NA,NA,0.167,1,6,NA,0,0,NA,0.833,0.167,GG,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349621.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/354900/354956.png,https://www.espncricinfo.com/db/PICTURES/CMS/354900/354956.png,https://www.espncricinfo.com/db/PICTURES/CMS/348600/348618.4.jpg
Aayan Afzal Khan,1241265,Gulf Giants,2023,International League T20,1346942,ILT_DV_GG_2023-02-04,4.083,0.227,0,0,4.083,0.227,0,0,0,0,0,0,0,0,1,19,18,1,6,6.333,19,NA,NA,18,0.056,NA,NA,0.333,NA,NA,GG,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349621.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/354900/354956.png,https://www.espncricinfo.com/db/PICTURES/CMS/354900/354956.png,https://www.espncricinfo.com/db/PICTURES/CMS/348600/348618.4.jpg
Aayan Afzal Khan,1241265,Gulf Giants,2023,International League T20,1346945,ILT_GG_SW_2023-02-06,-0.839,-0.065,-0.839,-0.065,0,0,14,13,2,7,1,12,4,0,0,0,0,0,0,NA,NA,1.077,Inf,13,NA,0.154,0.077,NA,0.538,0.333,GG,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349621.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/354900/354956.png,https://www.espncricinfo.com/db/PICTURES/CMS/354900/354956.png,https://www.espncricinfo.com/db/PICTURES/CMS/348600/348618.4.jpg
Aayan Afzal Khan,1241265,Gulf Giants,2023,International League T20,1346946,ILT_GG_DV_2023-02-08,9.308,1.551,0,0,9.308,1.551,0,0,0,0,0,0,0,0,1,2,6,0,4,2,2,NA,NA,6,0,NA,NA,0.667,NA,NA,GG,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349621.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/354900/354956.png,https://www.espncricinfo.com/db/PICTURES/CMS/354900/354956.png,https://www.espncricinfo.com/db/PICTURES/CMS/348600/348618.4.jpg
Aayan Afzal Khan,1241265,Gulf Giants,2024,International League T20,1406889,ILT_SW_GG_2024-01-19,-3.811,-0.212,0,0,-3.811,-0.212,0,0,0,0,0,0,0,0,0,25,18,3,6,8.333,Inf,NA,NA,18,0.167,NA,NA,0.333,NA,NA,GG,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349621.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/354900/354956.png,https://www.espncricinfo.com/db/PICTURES/CMS/354900/354956.png,https://www.espncricinfo.com/db/PICTURES/CMS/348600/348618.4.jpg
Aayan Afzal Khan,1241265,Gulf Giants,2024,International League T20,1406892,ILT_GG_MIE_2024-01-21,-0.121,-0.121,-0.121,-0.121,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,NA,NA,1,Inf,1,NA,0,0,NA,0,1,GG,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349621.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/354900/354956.png,https://www.espncricinfo.com/db/PICTURES/CMS/354900/354956.png,https://www.espncricinfo.com/db/PICTURES/CMS/348600/348618.4.jpg
Aayan Afzal Khan,1241265,Gulf Giants,2024,International League T20,1406895,ILT_DV_GG_2024-01-24,-5.265,-0.877,0,0,-5.265,-0.877,0,0,0,0,0,0,0,0,0,13,6,2,0,13,Inf,NA,NA,6,0.333,NA,NA,0,NA,NA,GG,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349621.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/354900/354956.png,https://www.espncricinfo.com/db/PICTURES/CMS/354900/354956.png,https://www.espncricinfo.com/db/PICTURES/CMS/348600/348618.4.jpg
Aayan Afzal Khan,1241265,Gulf Giants,2024,International League T20,1406910,ILT_SW_GG_2024-02-04,5.674,0.315,0,0,5.674,0.315,0,0,0,0,0,0,0,0,2,16,18,2,11,5.333,8,NA,NA,18,0.111,NA,NA,0.611,NA,NA,GG,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349621.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/354900/354956.png,https://www.espncricinfo.com/db/PICTURES/CMS/354900/354956.png,https://www.espncricinfo.com/db/PICTURES/CMS/348600/348618.4.jpg
Aayan Afzal Khan,1241265,Gulf Giants,2024,International League T20,1406912,ILT_DC_GG_2024-02-06,0.422,0.012,-15.836,-0.932,16.258,0.903,10,17,0,9,0,18,10,1,2,8,18,0,10,2.667,4,0.588,10,35,0,0,0,0.556,0.529,0.556,GG,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349621.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/354900/354956.png,https://www.espncricinfo.com/db/PICTURES/CMS/354900/354956.png,https://www.espncricinfo.com/db/PICTURES/CMS/348600/348618.4.jpg
Aayan Afzal Khan,1241265,Gulf Giants,2024,International League T20,1406914,ILT_MIE_GG_2024-02-08,5.925,0.494,0,0,5.925,0.494,0,0,0,0,0,0,0,0,1,10,12,1,5,5,10,NA,NA,12,0.083,NA,NA,0.417,NA,NA,GG,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349621.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/354900/354956.png,https://www.espncricinfo.com/db/PICTURES/CMS/354900/354956.png,https://www.espncricinfo.com/db/PICTURES/CMS/348600/348618.4.jpg
