player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,comp_colour_main,comp_colour_secondary,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
AB de Villiers,44936,Delhi Daredevils,2007,Indian Premier League,-28.04,-0.286,-28.04,-0.286,0,0,95,98,6,37,1,94,69,5,NA,NA,0,NA,NA,NA,NA,0.969,19,98,NA,0.061,0.01,NA,0.378,0.734,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Indian_Premier_League_Official_Logo.svg/1080px-Indian_Premier_League_Official_Logo.svg.png,#19398A,#5091CD,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/263700/263764.1.jpg
AB de Villiers,44936,Delhi Daredevils,2009,Indian Premier League,-4.604,-0.01,-4.604,-0.01,0,0,576,473,58,148,12,424,320,16,NA,NA,0,NA,NA,NA,NA,1.218,36,473,NA,0.123,0.025,NA,0.313,0.755,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Indian_Premier_League_Official_Logo.svg/1080px-Indian_Premier_League_Official_Logo.svg.png,#19398A,#5091CD,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/263700/263764.1.jpg
AB de Villiers,44936,Royal Challengers Bangalore,2011,Indian Premier League,17.549,0.073,17.549,0.073,0,0,312,242,35,77,14,213,144,9,NA,NA,0,NA,NA,NA,NA,1.289,34.667,242,NA,0.145,0.058,NA,0.318,0.676,RCB,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313418.logo.png,#ef4022,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Indian_Premier_League_Official_Logo.svg/1080px-Indian_Premier_League_Official_Logo.svg.png,#19398A,#5091CD,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/263700/263764.1.jpg
AB de Villiers,44936,Royal Challengers Bangalore,2012,Indian Premier League,76.73,0.389,76.73,0.389,0,0,319,197,41,49,15,162,125,8,NA,NA,0,NA,NA,NA,NA,1.619,39.875,197,NA,0.208,0.076,NA,0.249,0.772,RCB,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313418.logo.png,#ef4022,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Indian_Premier_League_Official_Logo.svg/1080px-Indian_Premier_League_Official_Logo.svg.png,#19398A,#5091CD,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/263700/263764.1.jpg
AB de Villiers,44936,Royal Challengers Bangalore,2013,Indian Premier League,100.592,0.459,100.592,0.459,0,0,360,219,49,55,15,173,134,10,NA,NA,0,NA,NA,NA,NA,1.644,36,219,NA,0.224,0.068,NA,0.251,0.775,RCB,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313418.logo.png,#ef4022,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Indian_Premier_League_Official_Logo.svg/1080px-Indian_Premier_League_Official_Logo.svg.png,#19398A,#5091CD,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/263700/263764.1.jpg
AB de Villiers,44936,Royal Challengers Bangalore,2016,Indian Premier League,243.599,0.601,243.599,0.601,0,0,687,405,94,97,37,321,237,13,NA,NA,0,NA,NA,NA,NA,1.696,52.846,405,NA,0.232,0.091,NA,0.24,0.738,RCB,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313418.logo.png,#ef4022,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Indian_Premier_League_Official_Logo.svg/1080px-Indian_Premier_League_Official_Logo.svg.png,#19398A,#5091CD,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/263700/263764.1.jpg
AB de Villiers,44936,Royal Challengers Bangalore,2017,Indian Premier League,28.688,0.176,28.688,0.176,0,0,216,163,28,63,16,143,72,8,NA,NA,0,NA,NA,NA,NA,1.325,27,163,NA,0.172,0.098,NA,0.387,0.503,RCB,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313418.logo.png,#ef4022,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Indian_Premier_League_Official_Logo.svg/1080px-Indian_Premier_League_Official_Logo.svg.png,#19398A,#5091CD,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/263700/263764.1.jpg
AB de Villiers,44936,Royal Challengers Bangalore,2018,Indian Premier League,148.021,0.538,148.021,0.538,0,0,480,275,69,74,30,211,144,9,NA,NA,0,NA,NA,NA,NA,1.745,53.333,275,NA,0.251,0.109,NA,0.269,0.682,RCB,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313418.logo.png,#ef4022,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Indian_Premier_League_Official_Logo.svg/1080px-Indian_Premier_League_Official_Logo.svg.png,#19398A,#5091CD,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/263700/263764.1.jpg
AB de Villiers,44936,Royal Challengers Bangalore,2019,Indian Premier League,81.462,0.288,81.462,0.288,0,0,432,283,55,86,26,235,160,9,NA,NA,0,NA,NA,NA,NA,1.527,48,283,NA,0.194,0.092,NA,0.304,0.681,RCB,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313418.logo.png,#ef4022,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Indian_Premier_League_Official_Logo.svg/1080px-Indian_Premier_League_Official_Logo.svg.png,#19398A,#5091CD,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/263700/263764.1.jpg
AB de Villiers,44936,Royal Challengers Bangalore,2020,Indian Premier League,101.485,0.359,101.485,0.359,0,0,454,283,56,75,23,236,184,10,NA,NA,0,NA,NA,NA,NA,1.604,45.4,283,NA,0.198,0.081,NA,0.265,0.78,RCB,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313418.logo.png,#ef4022,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Indian_Premier_League_Official_Logo.svg/1080px-Indian_Premier_League_Official_Logo.svg.png,#19398A,#5091CD,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/263700/263764.1.jpg
