player,cricinfo_id,team,season,competition,match_id,custom_match_id,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Abdul Samad,1175485,Sunrisers Hyderabad,2024,Indian Premier League,1422121,IPL_KKR_SRH_2024-03-23,-0.668,-0.061,-0.668,-0.061,0,0,15,11,2,4,1,9,5,1,0,0,0,0,0,NA,NA,1.364,15,11,NA,0.182,0.091,NA,0.364,0.556,SRH,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313480.logo.png,#fb653f,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Indian_Premier_League_Official_Logo.svg/320px-Indian_Premier_League_Official_Logo.svg.png,https://www.espncricinfo.com/db/PICTURES/CMS/339100/339145.png,https://www.espncricinfo.com/db/PICTURES/CMS/339100/339145.png,https://www.espncricinfo.com/db/PICTURES/CMS/295300/295304.jpg
Abdul Samad,1175485,Sunrisers Hyderabad,2024,Indian Premier League,1422130,IPL_GT_SRH_2024-03-31,14.53,0.969,14.53,0.969,0,0,29,15,4,1,1,11,11,1,0,0,0,0,0,NA,NA,1.933,29,15,NA,0.267,0.067,NA,0.067,1,SRH,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313480.logo.png,#fb653f,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Indian_Premier_League_Official_Logo.svg/320px-Indian_Premier_League_Official_Logo.svg.png,https://www.espncricinfo.com/db/PICTURES/CMS/339100/339145.png,https://www.espncricinfo.com/db/PICTURES/CMS/339100/339145.png,https://www.espncricinfo.com/db/PICTURES/CMS/295300/295304.jpg
Abdul Samad,1175485,Sunrisers Hyderabad,2024,Indian Premier League,1426261,IPL_PBKS_SRH_2024-04-09,10.058,0.774,10.058,0.774,0,0,25,13,5,3,0,8,5,1,0,0,0,0,0,NA,NA,1.923,25,13,NA,0.385,0,NA,0.231,0.625,SRH,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313480.logo.png,#fb653f,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Indian_Premier_League_Official_Logo.svg/320px-Indian_Premier_League_Official_Logo.svg.png,https://www.espncricinfo.com/db/PICTURES/CMS/339100/339145.png,https://www.espncricinfo.com/db/PICTURES/CMS/339100/339145.png,https://www.espncricinfo.com/db/PICTURES/CMS/295300/295304.jpg
Abdul Samad,1175485,Sunrisers Hyderabad,2024,Indian Premier League,1426268,IPL_RCB_SRH_2024-04-15,28.894,2.627,28.894,2.627,0,0,37,11,7,1,3,4,3,0,0,0,0,0,0,NA,NA,3.364,Inf,11,NA,0.636,0.273,NA,0.091,0.75,SRH,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313480.logo.png,#fb653f,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Indian_Premier_League_Official_Logo.svg/320px-Indian_Premier_League_Official_Logo.svg.png,https://www.espncricinfo.com/db/PICTURES/CMS/339100/339145.png,https://www.espncricinfo.com/db/PICTURES/CMS/339100/339145.png,https://www.espncricinfo.com/db/PICTURES/CMS/295300/295304.jpg
Abdul Samad,1175485,Sunrisers Hyderabad,2024,Indian Premier League,1426273,IPL_DC_SRH_2024-04-20,1.632,0.204,1.632,0.204,0,0,13,8,2,3,1,6,3,1,0,0,0,0,0,NA,NA,1.625,13,8,NA,0.25,0.125,NA,0.375,0.5,SRH,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313480.logo.png,#fb653f,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Indian_Premier_League_Official_Logo.svg/320px-Indian_Premier_League_Official_Logo.svg.png,https://www.espncricinfo.com/db/PICTURES/CMS/339100/339145.png,https://www.espncricinfo.com/db/PICTURES/CMS/339100/339145.png,https://www.espncricinfo.com/db/PICTURES/CMS/295300/295304.jpg
Abdul Samad,1175485,Sunrisers Hyderabad,2024,Indian Premier League,1426279,IPL_SRH_RCB_2024-04-25,-0.063,-0.01,-0.063,-0.01,0,0,10,6,1,1,1,5,4,1,0,0,0,0,0,NA,NA,1.667,10,6,NA,0.167,0.167,NA,0.167,0.8,SRH,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313480.logo.png,#fb653f,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Indian_Premier_League_Official_Logo.svg/320px-Indian_Premier_League_Official_Logo.svg.png,https://www.espncricinfo.com/db/PICTURES/CMS/339100/339145.png,https://www.espncricinfo.com/db/PICTURES/CMS/339100/339145.png,https://www.espncricinfo.com/db/PICTURES/CMS/295300/295304.jpg
Abdul Samad,1175485,Sunrisers Hyderabad,2024,Indian Premier League,1426284,IPL_CSK_SRH_2024-04-28,-4.083,-0.227,-4.083,-0.227,0,0,19,18,2,7,1,16,9,1,0,0,0,0,0,NA,NA,1.056,19,18,NA,0.111,0.056,NA,0.389,0.562,SRH,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313480.logo.png,#fb653f,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Indian_Premier_League_Official_Logo.svg/320px-Indian_Premier_League_Official_Logo.svg.png,https://www.espncricinfo.com/db/PICTURES/CMS/339100/339145.png,https://www.espncricinfo.com/db/PICTURES/CMS/339100/339145.png,https://www.espncricinfo.com/db/PICTURES/CMS/295300/295304.jpg
Abdul Samad,1175485,Sunrisers Hyderabad,2024,Indian Premier League,1426293,IPL_MI_SRH_2024-05-06,-5.054,-1.011,-5.054,-1.011,0,0,3,5,0,1,0,5,3,1,0,0,0,0,0,NA,NA,0.6,3,5,NA,0,0,NA,0.2,0.6,SRH,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313480.logo.png,#fb653f,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Indian_Premier_League_Official_Logo.svg/320px-Indian_Premier_League_Official_Logo.svg.png,https://www.espncricinfo.com/db/PICTURES/CMS/339100/339145.png,https://www.espncricinfo.com/db/PICTURES/CMS/339100/339145.png,https://www.espncricinfo.com/db/PICTURES/CMS/295300/295304.jpg
Abhinav Manohar,778963,Gujarat Titans,2024,Indian Premier League,1426262,IPL_RR_GT_2024-04-10,-3.858,-1.929,-3.858,-1.929,0,0,1,2,0,1,0,2,1,1,0,0,0,0,0,NA,NA,0.5,1,2,NA,0,0,NA,0.5,0.5,GT,https://www.espncricinfo.com/db/PICTURES/CMS/334700/334707.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Indian_Premier_League_Official_Logo.svg/320px-Indian_Premier_League_Official_Logo.svg.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Abhinav Manohar,778963,Gujarat Titans,2024,Indian Premier League,1426270,IPL_GT_DC_2024-04-17,-14.894,-1.064,-14.894,-1.064,0,0,8,14,1,10,0,13,4,1,0,0,0,0,0,NA,NA,0.571,8,14,NA,0.071,0,NA,0.714,0.308,GT,https://www.espncricinfo.com/db/PICTURES/CMS/334700/334707.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Indian_Premier_League_Official_Logo.svg/320px-Indian_Premier_League_Official_Logo.svg.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
