player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
AB de Villiers,44936,Lahore Qalandars,2019,Pakistan Super League,13.099,0.078,13.099,0.078,0,0,218,169,24,41,5,145,112,4,NA,NA,0,NA,NA,NA,NA,1.29,54.5,169,NA,0.142,0.03,NA,0.243,0.772,LQ,https://www.espncricinfo.com/db/PICTURES/CMS/313500/313523.logo.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/2/24/Official_logo_of_Pakistan_Super_League.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/263700/263764.1.jpg
Aamer Azmat,1248374,Multan Sultans,2022,Pakistan Super League,13.438,0.328,6.58,0.194,6.858,0.98,43,34,6,14,0,29,19,3,0,3,7,0,4,2.571,Inf,1.265,14.333,41,0,0.176,0,0.571,0.412,0.655,MS,https://www.espncricinfo.com/db/PICTURES/CMS/313500/313550.logo.png,#238652,https://upload.wikimedia.org/wikipedia/en/2/24/Official_logo_of_Pakistan_Super_League.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Aamer Jamal,793441,Peshawar Zalmi,2023,Pakistan Super League,-53.086,-0.326,-10.287,-0.411,-42.799,-0.31,29,25,4,11,2,24,9,4,11,243,138,37,44,10.565,22.091,1.16,7.25,163,0.268,0.16,0.08,0.319,0.44,0.375,PZ,https://www.espncricinfo.com/db/PICTURES/CMS/313500/313519.logo.png,#f4c006,https://upload.wikimedia.org/wikipedia/en/2/24/Official_logo_of_Pakistan_Super_League.png,https://www.espncricinfo.com/db/PICTURES/CMS/373600/373684.1.png,https://www.espncricinfo.com/db/PICTURES/CMS/373600/373684.1.png,https://www.espncricinfo.com/db/PICTURES/CMS/373600/373684.1.png
Aamer Jamal,793441,Peshawar Zalmi,2024,Pakistan Super League,-19.924,-0.083,28.685,0.337,-48.609,-0.312,138,85,21,30,8,68,38,4,6,236,156,32,48,9.077,39.333,1.624,34.5,241,0.205,0.247,0.094,0.308,0.353,0.559,PZ,https://www.espncricinfo.com/db/PICTURES/CMS/313500/313519.logo.png,#f4c006,https://upload.wikimedia.org/wikipedia/en/2/24/Official_logo_of_Pakistan_Super_League.png,https://www.espncricinfo.com/db/PICTURES/CMS/373600/373684.1.png,https://www.espncricinfo.com/db/PICTURES/CMS/373600/373684.1.png,https://www.espncricinfo.com/db/PICTURES/CMS/373600/373684.1.png
Aamer Yamin,434429,Karachi Kings,2019,Pakistan Super League,-7.894,-0.039,-1.157,-0.041,-6.737,-0.038,39,28,5,10,2,25,15,3,8,238,176,25,50,8.114,29.75,1.393,13,204,0.142,0.179,0.071,0.284,0.357,0.6,KK,https://www.espncricinfo.com/db/PICTURES/CMS/313500/313520.logo.png,#135bec,https://upload.wikimedia.org/wikipedia/en/2/24/Official_logo_of_Pakistan_Super_League.png,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322157.png,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322157.png,https://www.espncricinfo.com/db/PICTURES/CMS/228400/228499.1.jpg
Aamer Yamin,434429,Karachi Kings,2021,Pakistan Super League,-40.022,-1.112,-5.495,-2.747,-34.528,-1.016,0,2,0,2,0,2,0,1,2,79,34,15,13,13.941,39.5,0,0,36,0.441,0,0,0.382,1,0,KK,https://www.espncricinfo.com/db/PICTURES/CMS/313500/313520.logo.png,#135bec,https://upload.wikimedia.org/wikipedia/en/2/24/Official_logo_of_Pakistan_Super_League.png,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322157.png,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322157.png,https://www.espncricinfo.com/db/PICTURES/CMS/228400/228499.1.jpg
Aamer Yamin,434429,Karachi Kings,2022,Pakistan Super League,-42.669,-0.391,2.96,0.076,-45.629,-0.652,56,39,6,14,4,34,24,4,1,114,70,15,24,9.771,114,1.436,14,109,0.214,0.154,0.103,0.343,0.359,0.706,KK,https://www.espncricinfo.com/db/PICTURES/CMS/313500/313520.logo.png,#135bec,https://upload.wikimedia.org/wikipedia/en/2/24/Official_logo_of_Pakistan_Super_League.png,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322157.png,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322157.png,https://www.espncricinfo.com/db/PICTURES/CMS/228400/228499.1.jpg
Aamer Yamin,434429,Karachi Kings,2023,Pakistan Super League,-31.493,-0.196,15.461,0.966,-46.954,-0.324,31,16,4,5,3,14,9,1,8,219,145,32,46,9.062,27.375,1.938,31,161,0.221,0.25,0.188,0.317,0.312,0.643,KK,https://www.espncricinfo.com/db/PICTURES/CMS/313500/313520.logo.png,#135bec,https://upload.wikimedia.org/wikipedia/en/2/24/Official_logo_of_Pakistan_Super_League.png,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322157.png,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322157.png,https://www.espncricinfo.com/db/PICTURES/CMS/228400/228499.1.jpg
Aamer Yamin,434429,Lahore Qalandars,2017,Pakistan Super League,10.378,0.104,-9.524,-0.366,19.901,0.269,25,26,4,17,2,22,5,2,5,86,74,9,29,6.973,17.2,0.962,12.5,100,0.122,0.154,0.077,0.392,0.654,0.227,LQ,https://www.espncricinfo.com/db/PICTURES/CMS/313500/313523.logo.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/2/24/Official_logo_of_Pakistan_Super_League.png,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322157.png,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322157.png,https://www.espncricinfo.com/db/PICTURES/CMS/228400/228499.1.jpg
Aamer Yamin,434429,Lahore Qalandars,2018,Pakistan Super League,-41.56,-1.807,-5.128,-1.282,-36.432,-1.917,2,4,0,2,0,4,2,2,0,46,19,6,3,14.526,Inf,0.5,1,23,0.316,0,0,0.158,0.5,0.5,LQ,https://www.espncricinfo.com/db/PICTURES/CMS/313500/313523.logo.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/2/24/Official_logo_of_Pakistan_Super_League.png,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322157.png,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322157.png,https://www.espncricinfo.com/db/PICTURES/CMS/228400/228499.1.jpg
