player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Aaron Phangiso,46942,Joburg Super Kings,2023,SA20,-12.707,-0.552,-1.193,-0.239,-11.514,-0.64,7,5,1,3,1,4,1,1,0,34,18,4,5,11.333,Inf,1.4,7,23,0.222,0.2,0.2,0.278,0.6,0.25,JSK,https://www.espncricinfo.com/db/PICTURES/CMS/348900/348949.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/a/a5/SA20-logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316561.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316561.png,https://www.espncricinfo.com/db/PICTURES/CMS/238100/238129.jpg
Adam Rossington,457280,Sunrisers Eastern Cape,2023,SA20,-5.972,-0.427,-5.972,-0.427,0,0,13,14,2,9,1,12,3,2,NA,NA,0,NA,NA,NA,NA,0.929,6.5,14,NA,0.143,0.071,NA,0.643,0.25,SEC,https://www.espncricinfo.com/db/PICTURES/CMS/348900/348952.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/a/a5/SA20-logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324235.png,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324235.png,https://www.espncricinfo.com/db/PICTURES/CMS/145400/145487.1.jpg
Adil Rashid,244497,Pretoria Capitals,2023,SA20,-0.761,-0.003,11.361,0.299,-12.123,-0.066,60,38,11,10,1,27,14,3,8,255,184,28,53,8.315,31.875,1.579,20,222,0.152,0.289,0.026,0.288,0.263,0.519,PC,https://www.espncricinfo.com/db/PICTURES/CMS/348900/348951.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/a/a5/SA20-logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/319700/319741.png,https://www.espncricinfo.com/db/PICTURES/CMS/319700/319741.png,https://www.espncricinfo.com/db/PICTURES/CMS/289600/289662.1.jpg
Aiden Markram,600498,Sunrisers Eastern Cape,2023,SA20,24.936,0.107,21.426,0.112,3.51,0.082,261,191,24,39,10,167,145,8,2,41,43,4,16,5.721,20.5,1.366,32.625,234,0.093,0.126,0.052,0.372,0.204,0.868,SEC,https://www.espncricinfo.com/db/PICTURES/CMS/348900/348952.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/a/a5/SA20-logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/322000/322067.png,https://www.espncricinfo.com/db/PICTURES/CMS/322000/322067.png,https://www.espncricinfo.com/db/PICTURES/CMS/317900/317970.jpg
Andile Phehlukwayo,540316,Paarl Royals,2023,SA20,-43.172,-0.17,-8.081,-0.114,-35.091,-0.192,81,71,11,29,4,60,29,4,9,271,183,35,49,8.885,30.111,1.141,20.25,254,0.191,0.155,0.056,0.268,0.408,0.483,PR,https://www.espncricinfo.com/db/PICTURES/CMS/348900/348950.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/a/a5/SA20-logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/320300/320334.png,https://www.espncricinfo.com/db/PICTURES/CMS/320300/320334.png,https://www.espncricinfo.com/db/PICTURES/CMS/317900/317969.jpg
Beuran Hendricks,379927,MI Cape Town,2023,SA20,-20.35,-0.391,0,0,-20.35,-0.391,NA,0,NA,NA,NA,NA,NA,NA,3,83,52,11,19,9.577,27.667,NA,NA,52,0.212,NA,NA,0.365,NA,NA,MICT,https://www.espncricinfo.com/db/PICTURES/CMS/344000/344076.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/a/a5/SA20-logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/322000/322078.png,https://www.espncricinfo.com/db/PICTURES/CMS/322000/322078.png,https://www.espncricinfo.com/db/PICTURES/CMS/317900/317967.jpg
Beyers Swanepoel,698319,Sunrisers Eastern Cape,2023,SA20,-1.672,-0.017,-4.705,-0.523,3.034,0.033,8,9,0,3,0,9,8,2,7,123,92,18,33,8.022,17.571,0.889,4,101,0.196,0,0,0.359,0.333,0.889,SEC,https://www.espncricinfo.com/db/PICTURES/CMS/348900/348952.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/a/a5/SA20-logo.svg,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Bhanuka Rajapaksa,342619,Durban's Super Giants,2023,SA20,1.291,0.05,1.291,0.05,0,0,35,26,6,9,0,20,11,2,NA,NA,0,NA,NA,NA,NA,1.346,17.5,26,NA,0.231,0,NA,0.346,0.55,DSG,https://www.espncricinfo.com/db/PICTURES/CMS/348900/348948.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/a/a5/SA20-logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/340300/340306.png,https://www.espncricinfo.com/db/PICTURES/CMS/340300/340306.png,https://www.espncricinfo.com/db/PICTURES/CMS/338100/338183.4.jpg
Bjorn Fortuin,553249,Paarl Royals,2023,SA20,5.586,0.019,-27.627,-0.601,33.213,0.133,39,46,2,16,0,44,31,5,6,297,249,32,87,7.157,49.5,0.848,7.8,295,0.129,0.043,0,0.349,0.348,0.705,PR,https://www.espncricinfo.com/db/PICTURES/CMS/348900/348950.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/a/a5/SA20-logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/322400/322461.png,https://www.espncricinfo.com/db/PICTURES/CMS/322400/322461.png,https://www.espncricinfo.com/db/PICTURES/CMS/317900/317966.jpg
Codi Yusuf,949461,Paarl Royals,2023,SA20,-18.554,-0.344,-5.495,-0.366,-13.059,-0.335,16,15,2,6,0,13,8,1,1,63,39,8,9,9.692,63,1.067,16,54,0.205,0.133,0,0.231,0.4,0.615,PR,https://www.espncricinfo.com/db/PICTURES/CMS/348900/348950.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/a/a5/SA20-logo.svg,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
