player,cricinfo_id,team,season,competition,match_id,custom_match_id,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Aaron Phangiso,46942,Joburg Super Kings,2022,SA20,1343942,SA_DSG_JSK_2023-01-11,-7.172,-0.299,0,0,-7.172,-0.299,0,0,0,0,0,0,0,0,1,39,24,4,4,9.75,39,NA,NA,24,0.167,NA,NA,0.167,NA,NA,JSK,https://www.espncricinfo.com/db/PICTURES/CMS/348900/348949.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/a/a5/SA20-logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316561.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316561.png,https://www.espncricinfo.com/db/PICTURES/CMS/238100/238129.jpg
Aaron Phangiso,46942,Joburg Super Kings,2022,SA20,1343944,SA_PR_JSK_2023-01-13,-16.274,-0.525,-17.919,-0.943,1.645,0.137,10,19,0,11,0,19,10,1,1,15,12,1,5,7.5,15,0.526,10,31,0.083,0,0,0.417,0.579,0.526,JSK,https://www.espncricinfo.com/db/PICTURES/CMS/348900/348949.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/a/a5/SA20-logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316561.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316561.png,https://www.espncricinfo.com/db/PICTURES/CMS/238100/238129.jpg
Aaron Phangiso,46942,Joburg Super Kings,2022,SA20,1343947,SA_MICT_JSK_2023-01-14,4.482,0.14,0.72,0.09,3.762,0.157,10,8,1,2,0,7,6,0,0,23,24,2,12,5.75,Inf,1.25,Inf,32,0.083,0.125,0,0.5,0.25,0.857,JSK,https://www.espncricinfo.com/db/PICTURES/CMS/348900/348949.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/a/a5/SA20-logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316561.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316561.png,https://www.espncricinfo.com/db/PICTURES/CMS/238100/238129.jpg
Aaron Phangiso,46942,Joburg Super Kings,2022,SA20,1343951,SA_PC_JSK_2023-01-17,7.098,0.296,0,0,7.098,0.296,0,0,0,0,0,0,0,0,4,32,24,3,9,8,8,NA,NA,24,0.125,NA,NA,0.375,NA,NA,JSK,https://www.espncricinfo.com/db/PICTURES/CMS/348900/348949.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/a/a5/SA20-logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316561.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316561.png,https://www.espncricinfo.com/db/PICTURES/CMS/238100/238129.jpg
Aaron Phangiso,46942,Joburg Super Kings,2022,SA20,1343953,SA_PC_JSK_2023-01-18,14.843,0.707,15.101,1.678,-0.259,-0.022,19,9,3,2,2,7,3,0,0,14,12,1,2,7,Inf,2.111,Inf,21,0.083,0.333,0.222,0.167,0.222,0.429,JSK,https://www.espncricinfo.com/db/PICTURES/CMS/348900/348949.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/a/a5/SA20-logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316561.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316561.png,https://www.espncricinfo.com/db/PICTURES/CMS/238100/238129.jpg
Aaron Phangiso,46942,Joburg Super Kings,2022,SA20,1343957,SA_JSK_SEC_2023-01-21,21.118,0.88,0,0,21.118,0.88,0,0,0,0,0,0,0,0,4,21,24,2,11,5.25,5.25,NA,NA,24,0.083,NA,NA,0.458,NA,NA,JSK,https://www.espncricinfo.com/db/PICTURES/CMS/348900/348949.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/a/a5/SA20-logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316561.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316561.png,https://www.espncricinfo.com/db/PICTURES/CMS/238100/238129.jpg
Aaron Phangiso,46942,Joburg Super Kings,2023,SA20,1392660,SA_PR_JSK_2024-01-17,-12.707,-0.552,-1.193,-0.239,-11.514,-0.64,7,5,1,3,1,4,1,1,0,34,18,4,5,11.333,Inf,1.4,7,23,0.222,0.2,0.2,0.278,0.6,0.25,JSK,https://www.espncricinfo.com/db/PICTURES/CMS/348900/348949.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/a/a5/SA20-logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316561.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316561.png,https://www.espncricinfo.com/db/PICTURES/CMS/238100/238129.jpg
Adam Rossington,457280,Sunrisers Eastern Cape,2022,SA20,1343949,SA_SEC_MICT_2023-01-16,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,NA,NA,0,0,1,NA,0,0,NA,1,0,SEC,https://www.espncricinfo.com/db/PICTURES/CMS/348900/348952.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/a/a5/SA20-logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324235.png,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324235.png,https://www.espncricinfo.com/db/PICTURES/CMS/145400/145487.1.jpg
Adam Rossington,457280,Sunrisers Eastern Cape,2022,SA20,1343952,SA_SEC_MICT_2023-01-18,-3.897,-0.433,-3.897,-0.433,0,0,11,9,1,3,0,9,7,1,0,0,0,0,0,NA,NA,1.222,11,9,NA,0.111,0,NA,0.333,0.778,SEC,https://www.espncricinfo.com/db/PICTURES/CMS/348900/348952.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/a/a5/SA20-logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324235.png,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324235.png,https://www.espncricinfo.com/db/PICTURES/CMS/145400/145487.1.jpg
Adam Rossington,457280,Sunrisers Eastern Cape,2022,SA20,1343954,SA_SEC_PR_2023-01-19,3.611,0.301,3.611,0.301,0,0,20,12,4,5,0,8,4,1,0,0,0,0,0,NA,NA,1.667,20,12,NA,0.333,0,NA,0.417,0.5,SEC,https://www.espncricinfo.com/db/PICTURES/CMS/348900/348952.png,#0b0c59,https://upload.wikimedia.org/wikipedia/commons/a/a5/SA20-logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324235.png,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324235.png,https://www.espncricinfo.com/db/PICTURES/CMS/145400/145487.1.jpg
