player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Adam Hose,525992,Wellington Blaze,2018,Super Smash,9.264,0.063,9.264,0.063,0,0,195,147,20,36,4,134,107,4,NA,NA,0,NA,NA,NA,NA,1.327,48.75,147,NA,0.136,0.027,NA,0.245,0.799,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324227.png,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324227.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Adam Milne,450860,Central Hinds,2017,Super Smash,-2.037,-0.085,0,0,-2.037,-0.085,NA,0,NA,NA,NA,NA,NA,NA,1,33,24,6,12,8.25,33,NA,NA,24,0.25,NA,NA,0.5,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316689.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316689.png,https://www.espncricinfo.com/db/PICTURES/CMS/303700/303779.png
Adam Milne,450860,Central Hinds,2018,Super Smash,18.828,0.219,-1.685,-0.094,20.513,0.302,17,18,2,4,0,17,9,1,6,73,68,8,27,6.441,12.167,0.944,17,86,0.118,0.111,0,0.397,0.222,0.529,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316689.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316689.png,https://www.espncricinfo.com/db/PICTURES/CMS/303700/303779.png
Adam Milne,450860,Central Hinds,2021,Super Smash,4.52,0.094,-3.818,-0.477,8.338,0.208,8,8,1,2,0,7,4,1,1,38,40,2,17,5.7,38,1,8,48,0.05,0.125,0,0.425,0.25,0.571,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316689.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316689.png,https://www.espncricinfo.com/db/PICTURES/CMS/303700/303779.png
Adam Milne,450860,Wellington Blaze,2022,Super Smash,8.721,0.059,-2.941,-0.074,11.662,0.109,50,40,4,13,3,38,28,3,9,129,107,17,47,7.234,14.333,1.25,16.667,147,0.159,0.1,0.075,0.439,0.325,0.737,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316689.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316689.png,https://www.espncricinfo.com/db/PICTURES/CMS/303700/303779.png
Adam Milne,450860,Wellington Blaze,2023,Super Smash,-39.493,-0.488,2.384,0.341,-41.877,-0.566,12,7,3,2,0,4,0,1,1,112,74,16,27,9.081,112,1.714,12,81,0.216,0.429,0,0.365,0.286,0,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316689.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316689.png,https://www.espncricinfo.com/db/PICTURES/CMS/303700/303779.png
Adithya Ashok,1193546,Auckland Hearts,2021,Super Smash,56.522,0.228,-14.102,-0.641,70.624,0.312,18,22,1,8,0,21,14,2,14,241,226,22,85,6.398,17.214,0.818,9,248,0.097,0.045,0,0.376,0.364,0.667,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/364600/364683.1.png,https://www.espncricinfo.com/db/PICTURES/CMS/364600/364683.1.png,https://www.espncricinfo.com/db/PICTURES/CMS/364600/364683.1.png
Adithya Ashok,1193546,Auckland Hearts,2022,Super Smash,-1.731,-0.009,-8.737,-0.514,7.006,0.042,16,17,2,7,0,15,8,3,9,216,168,21,54,7.714,24,0.941,5.333,185,0.125,0.118,0,0.321,0.412,0.533,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/364600/364683.1.png,https://www.espncricinfo.com/db/PICTURES/CMS/364600/364683.1.png,https://www.espncricinfo.com/db/PICTURES/CMS/364600/364683.1.png
Ajaz Patel,595783,Central Hinds,2017,Super Smash,-17.792,-0.075,-18.213,-0.759,0.421,0.002,16,24,0,8,0,25,16,2,13,285,213,38,80,8.028,21.923,0.667,8,237,0.178,0,0,0.376,0.333,0.64,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/321200/321200.png,https://www.espncricinfo.com/db/PICTURES/CMS/321200/321200.png,https://www.espncricinfo.com/db/PICTURES/CMS/303500/303596.jpg
Ajaz Patel,595783,Central Hinds,2018,Super Smash,-29.527,-0.146,2.378,0.17,-31.905,-0.17,21,14,2,4,1,12,11,1,12,282,188,29,46,9,23.5,1.5,21,202,0.154,0.143,0.071,0.245,0.286,0.917,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/321200/321200.png,https://www.espncricinfo.com/db/PICTURES/CMS/321200/321200.png,https://www.espncricinfo.com/db/PICTURES/CMS/303500/303596.jpg
Ajaz Patel,595783,Central Hinds,2019,Super Smash,36.191,0.166,-2.457,-0.351,38.648,0.183,8,7,1,4,1,6,2,2,16,260,211,36,82,7.393,16.25,1.143,4,218,0.171,0.143,0.143,0.389,0.571,0.333,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/321200/321200.png,https://www.espncricinfo.com/db/PICTURES/CMS/321200/321200.png,https://www.espncricinfo.com/db/PICTURES/CMS/303500/303596.jpg
Ajaz Patel,595783,Central Hinds,2020,Super Smash,-48.109,-0.17,-17.585,-0.651,-30.524,-0.119,23,27,2,11,0,29,15,3,9,336,256,43,91,7.875,37.333,0.852,7.667,283,0.168,0.074,0,0.355,0.407,0.517,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/321200/321200.png,https://www.espncricinfo.com/db/PICTURES/CMS/321200/321200.png,https://www.espncricinfo.com/db/PICTURES/CMS/303500/303596.jpg
Ajaz Patel,595783,Central Hinds,2021,Super Smash,-38.821,-0.35,-0.282,-0.02,-38.539,-0.397,19,14,2,2,0,12,11,2,3,159,97,22,30,9.835,53,1.357,9.5,111,0.227,0.143,0,0.309,0.143,0.917,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/321200/321200.png,https://www.espncricinfo.com/db/PICTURES/CMS/321200/321200.png,https://www.espncricinfo.com/db/PICTURES/CMS/303500/303596.jpg
Ajaz Patel,595783,Central Hinds,2022,Super Smash,9.252,0.071,-11.365,-0.568,20.617,0.187,16,20,0,8,0,20,16,2,3,119,110,13,41,6.491,39.667,0.8,8,130,0.118,0,0,0.373,0.4,0.8,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/321200/321200.png,https://www.espncricinfo.com/db/PICTURES/CMS/321200/321200.png,https://www.espncricinfo.com/db/PICTURES/CMS/303500/303596.jpg
Ajaz Patel,595783,Central Hinds,2023,Super Smash,16.649,0.095,-5.408,-0.541,22.057,0.134,7,10,0,4,0,12,7,2,10,199,165,20,52,7.236,19.9,0.7,3.5,175,0.121,0,0,0.315,0.4,0.583,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/321200/321200.png,https://www.espncricinfo.com/db/PICTURES/CMS/321200/321200.png,https://www.espncricinfo.com/db/PICTURES/CMS/303500/303596.jpg
