player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,comp_colour_main,comp_colour_secondary,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Alisha Bates,1203796,Australian Capital Territory Women,2024,T20 Spring Challenge,-0.279,-0.005,-1.334,-0.033,1.054,0.105,45,41,7,18,0,38,17,3,0,7,10,0,4,4.2,Inf,1.098,15,51,0,0.171,0,0.4,0.439,0.447,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amanda-Jade Wellington,381305,Adelaide Strikers Women,2024,T20 Spring Challenge,-17.009,-0.114,-6.161,-0.167,-10.848,-0.097,45,37,7,19,3,32,11,5,8,144,112,21,43,7.714,18,1.216,9,149,0.188,0.189,0.081,0.384,0.514,0.344,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/326400/326476.png,https://www.espncricinfo.com/db/PICTURES/CMS/326400/326476.png,https://www.espncricinfo.com/db/PICTURES/CMS/324900/324996.4.jpg
Anesu Mushangwe,922493,Adelaide Strikers Women,2024,T20 Spring Challenge,-11.586,-0.116,1.078,0.539,-12.664,-0.129,3,2,0,0,0,2,3,NA,6,125,98,16,36,7.653,20.833,1.5,NA,100,0.163,0,0,0.367,0,1.5,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/336200/336267.png,https://www.espncricinfo.com/db/PICTURES/CMS/336200/336267.png,https://www.espncricinfo.com/db/PICTURES/CMS/332600/332602.3.jpg
Angelina Genford,1282059,Australian Capital Territory Women,2024,T20 Spring Challenge,-22.137,-0.205,-5.106,-0.243,-17.031,-0.196,25,21,3,7,0,18,13,1,4,112,87,15,42,7.724,28,1.19,25,108,0.172,0.143,0,0.483,0.333,0.722,NA,NA,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Anika Learoyd,1231570,Sydney Thunder Women,2024,T20 Spring Challenge,12.557,0.179,12.557,0.179,0,0,83,70,7,23,5,67,45,3,NA,NA,0,NA,NA,NA,NA,1.186,27.667,70,NA,0.1,0.071,NA,0.329,0.672,NA,NA,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Annie O'Neil,1173523,Adelaide Strikers Women,2024,T20 Spring Challenge,0.32,0.005,0.32,0.005,0,0,71,62,9,23,1,55,33,4,NA,NA,0,NA,NA,NA,NA,1.145,17.75,62,NA,0.145,0.016,NA,0.371,0.6,NA,NA,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Annie Wikman,1302181,Australian Capital Territory Women,2024,T20 Spring Challenge,6.97,0.162,6.97,0.162,0,0,56,43,9,17,0,35,20,3,NA,NA,0,NA,NA,NA,NA,1.302,18.667,43,NA,0.209,0,NA,0.395,0.571,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beth Lane,1454943,Hobart Hurricanes Women,2024,T20 Spring Challenge,4.919,0.126,0,0,4.919,0.126,NA,0,NA,NA,NA,NA,NA,NA,2,41,39,2,13,6.308,20.5,NA,NA,39,0.051,NA,NA,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhavi Devchand,537427,Perth Scorchers Women,2024,T20 Spring Challenge,-10.313,-0.111,1.273,0.03,-11.586,-0.227,47,42,8,19,0,39,15,4,3,74,51,11,14,8.706,24.667,1.119,11.75,93,0.216,0.19,0,0.275,0.452,0.385,NA,NA,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Bridget Patterson,381308,Adelaide Strikers Women,2024,T20 Spring Challenge,-2.75,-0.051,-2.75,-0.051,0,0,48,54,6,24,0,50,24,2,NA,NA,0,NA,NA,NA,NA,0.889,24,54,NA,0.111,0,NA,0.444,0.48,NA,NA,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
