player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,comp_colour_main,comp_colour_secondary,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
AB de Villiers,44936,Middlesex,2019,Vitality Blast,115.642,0.612,115.642,0.612,0,0,348,189,41,32,20,152,144,5,NA,NA,0,NA,NA,NA,NA,1.841,69.6,189,NA,0.217,0.106,NA,0.169,0.947,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/263700/263764.1.jpg
Aadil Ali,648439,Leicestershire,2018,Vitality Blast,1.245,0.138,1.245,0.138,0,0,14,9,2,2,0,7,6,1,NA,NA,0,NA,NA,NA,NA,1.556,14,9,NA,0.222,0,NA,0.222,0.857,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/219300/219303.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/219300/219303.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/219300/219303.1.jpg
Aadil Ali,648439,Leicestershire,2019,Vitality Blast,-22.073,-0.334,-22.073,-0.334,0,0,75,66,4,13,2,63,55,6,NA,NA,0,NA,NA,NA,NA,1.136,12.5,66,NA,0.061,0.03,NA,0.197,0.873,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/219300/219303.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/219300/219303.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/219300/219303.1.jpg
Aamer Jamal,793441,Birmingham Bears,2024,Vitality Blast,-27.912,-3.101,-3.737,-3.737,-24.176,-3.022,0,1,0,1,0,1,0,1,0,25,8,4,1,18.75,Inf,0,0,9,0.5,0,0,0.125,1,0,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/373600/373684.1.png,https://www.espncricinfo.com/db/PICTURES/CMS/373600/373684.1.png,https://www.espncricinfo.com/db/PICTURES/CMS/373600/373684.1.png
Aaron Beard,894103,Essex,2019,Vitality Blast,-67.517,-0.475,-1.544,-0.129,-65.973,-0.507,17,12,2,3,1,10,7,1,6,200,130,29,38,9.231,33.333,1.417,17,142,0.223,0.167,0.083,0.292,0.25,0.7,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/242100/242161.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/242100/242161.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/242100/242161.4.jpg
Aaron Beard,894103,Essex,2020,Vitality Blast,-5.585,-0.223,1.688,0.338,-7.272,-0.364,9,5,2,1,0,6,1,1,3,41,20,7,5,12.3,13.667,1.8,9,25,0.35,0.4,0,0.25,0.2,0.167,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/242100/242161.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/242100/242161.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/242100/242161.4.jpg
Aaron Beard,894103,Essex,2022,Vitality Blast,22.649,0.226,2.27,0.567,20.38,0.212,5,4,0,0,0,5,5,NA,8,107,96,15,46,6.688,13.375,1.25,NA,100,0.156,0,0,0.479,0,1,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/242100/242161.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/242100/242161.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/242100/242161.4.jpg
Aaron Beard,894103,Essex,2023,Vitality Blast,-58.66,-0.624,-6.78,-0.565,-51.879,-0.633,9,12,0,5,0,12,9,1,3,135,82,22,25,9.878,45,0.75,9,94,0.268,0,0,0.305,0.417,0.75,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/242100/242161.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/242100/242161.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/242100/242161.4.jpg
Aaron Beard,894103,Essex,2024,Vitality Blast,-82.63,-0.646,-6.536,-0.503,-76.094,-0.662,16,13,1,3,1,12,10,NA,4,170,115,21,41,8.87,42.5,1.231,NA,128,0.183,0.077,0.077,0.357,0.231,0.833,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/242100/242161.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/242100/242161.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/242100/242161.4.jpg
Aaron Finch,5334,Surrey,2018,Vitality Blast,171.365,0.603,171.365,0.603,0,0,506,284,76,76,27,221,148,3,NA,NA,0,NA,NA,NA,NA,1.782,168.667,284,NA,0.268,0.095,NA,0.268,0.67,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/304000/304053.jpg
