player,cricinfo_id,team,season,competition,match_id,custom_match_id,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Aaron Beard,894103,Essex,2024,Vitality Blast,1410371,VB_GLOUC_ESSEX_2024-05-30,-3.925,-0.231,-2.268,-0.567,-1.657,-0.127,10,4,1,0,1,3,4,0,1,20,13,3,4,9.231,20,2.5,Inf,17,0.231,0.25,0.25,0.308,0,1.333,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/242100/242161.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/242100/242161.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/242100/242161.4.jpg
Aaron Beard,894103,Essex,2024,Vitality Blast,1410380,VB_SOM_ESSEX_2024-05-31,12.834,0.713,0,0,12.834,0.713,0,0,0,0,0,0,0,0,2,12,18,1,11,4,6,NA,NA,18,0.056,NA,NA,0.611,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/242100/242161.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/242100/242161.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/242100/242161.4.jpg
Aaron Beard,894103,Essex,2024,Vitality Blast,1410385,VB_ESSEX_MIDDX_2024-06-02,-33.352,-1.853,0,0,-33.352,-1.853,0,0,0,0,0,0,0,0,1,41,18,6,4,13.667,41,NA,NA,18,0.333,NA,NA,0.222,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/242100/242161.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/242100/242161.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/242100/242161.4.jpg
Aaron Beard,894103,Essex,2024,Vitality Blast,1410394,VB_ESSEX_GLAM_2024-06-07,-2.876,-0.411,0,0,-2.876,-0.411,0,0,0,0,0,0,0,0,0,7,7,0,2,6,Inf,NA,NA,7,0,NA,NA,0.286,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/242100/242161.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/242100/242161.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/242100/242161.4.jpg
Adam Finch,1026317,Worcestershire,2024,Vitality Blast,1410375,VB_YORKS_WORCS_2024-05-30,-3.796,-0.223,-8.864,-1.773,5.069,0.422,1,5,0,4,0,5,1,0,1,11,12,1,5,5.5,11,0.2,Inf,17,0.083,0,0,0.417,0.8,0.2,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/271800/271829.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/271800/271829.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/271800/271829.jpg
Adam Finch,1026317,Worcestershire,2024,Vitality Blast,1410382,VB_WORCS_LANCS_2024-05-31,-3.581,-0.138,0,0,-3.581,-0.138,0,0,0,0,0,0,0,0,0,31,26,3,9,7.154,Inf,NA,NA,26,0.115,NA,NA,0.346,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/271800/271829.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/271800/271829.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/271800/271829.jpg
Adam Finch,1026317,Worcestershire,2024,Vitality Blast,1410392,VB_NOTTS_WORCS_2024-06-06,1.387,0.058,0,0,1.387,0.058,0,0,0,0,0,0,0,0,1,29,24,3,8,7.25,29,NA,NA,24,0.125,NA,NA,0.333,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/271800/271829.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/271800/271829.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/271800/271829.jpg
Adam Finch,1026317,Worcestershire,2024,Vitality Blast,1410399,VB_NHNTS_WORCS_2024-06-07,-2.751,-0.098,-2.681,-0.335,-0.071,-0.004,6,8,0,2,0,8,6,0,1,25,20,4,8,7.5,25,0.75,Inf,28,0.2,0,0,0.4,0.25,0.75,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/271800/271829.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/271800/271829.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/271800/271829.jpg
Adam Hose,525992,Worcestershire,2024,Vitality Blast,1410375,VB_YORKS_WORCS_2024-05-30,-1.311,-0.164,-1.311,-0.164,0,0,8,8,1,4,0,7,4,1,0,0,0,0,0,NA,NA,1,8,8,NA,0.125,0,NA,0.5,0.571,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324227.png,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324227.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Adam Hose,525992,Worcestershire,2024,Vitality Blast,1410382,VB_WORCS_LANCS_2024-05-31,8.012,0.89,8.012,0.89,0,0,23,9,3,2,3,7,5,1,0,0,0,0,0,NA,NA,2.556,23,9,NA,0.333,0.333,NA,0.222,0.714,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324227.png,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324227.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
