player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,comp_colour_main,comp_colour_secondary,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Alana King,944393,Melbourne Stars Women,2015,Women's Big Bash League,-20.133,-0.419,-3.414,-0.569,-16.719,-0.398,7,6,1,2,0,5,3,NA,1,59,42,8,11,8.429,59,1.167,NA,48,0.19,0.167,0,0.262,0.333,0.6,MS-W,https://www.espncricinfo.com/db/PICTURES/CMS/313500/313504.logo.png,#1f9707,https://upload.wikimedia.org/wikipedia/en/9/97/Weber_wbbl_logo.png,#312D2E,#DFE22B,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337190.png,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337190.png,https://www.espncricinfo.com/db/PICTURES/CMS/334800/334893.4.jpg
Alana King,944393,Melbourne Stars Women,2016,Women's Big Bash League,-37.453,-0.245,-8.038,-0.893,-29.415,-0.204,4,9,0,5,0,9,4,2,5,185,144,21,46,7.708,37,0.444,2,153,0.146,0,0,0.319,0.556,0.444,MS-W,https://www.espncricinfo.com/db/PICTURES/CMS/313500/313504.logo.png,#1f9707,https://upload.wikimedia.org/wikipedia/en/9/97/Weber_wbbl_logo.png,#312D2E,#DFE22B,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337190.png,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337190.png,https://www.espncricinfo.com/db/PICTURES/CMS/334800/334893.4.jpg
Alana King,944393,Melbourne Stars Women,2017,Women's Big Bash League,-46.533,-0.119,-8.788,-0.078,-37.744,-0.135,111,112,12,49,3,102,57,8,15,353,280,38,98,7.564,23.533,0.991,13.875,392,0.136,0.107,0.027,0.35,0.438,0.559,MS-W,https://www.espncricinfo.com/db/PICTURES/CMS/313500/313504.logo.png,#1f9707,https://upload.wikimedia.org/wikipedia/en/9/97/Weber_wbbl_logo.png,#312D2E,#DFE22B,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337190.png,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337190.png,https://www.espncricinfo.com/db/PICTURES/CMS/334800/334893.4.jpg
Alana King,944393,Melbourne Stars Women,2018,Women's Big Bash League,-25.745,-0.078,-32.649,-0.371,6.904,0.029,78,88,3,36,3,86,60,7,15,274,240,32,92,6.85,18.267,0.886,11.143,328,0.133,0.034,0.034,0.383,0.409,0.698,MS-W,https://www.espncricinfo.com/db/PICTURES/CMS/313500/313504.logo.png,#1f9707,https://upload.wikimedia.org/wikipedia/en/9/97/Weber_wbbl_logo.png,#312D2E,#DFE22B,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337190.png,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337190.png,https://www.espncricinfo.com/db/PICTURES/CMS/334800/334893.4.jpg
Alana King,944393,Melbourne Stars Women,2019,Women's Big Bash League,-78.269,-0.455,-12.696,-0.385,-65.573,-0.472,17,33,0,16,0,33,17,2,2,211,139,29,39,9.108,105.5,0.515,8.5,172,0.209,0,0,0.281,0.485,0.515,MS-W,https://www.espncricinfo.com/db/PICTURES/CMS/313500/313504.logo.png,#1f9707,https://upload.wikimedia.org/wikipedia/en/9/97/Weber_wbbl_logo.png,#312D2E,#DFE22B,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337190.png,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337190.png,https://www.espncricinfo.com/db/PICTURES/CMS/334800/334893.4.jpg
Alana King,944393,Melbourne Stars Women,2020,Women's Big Bash League,63.601,0.217,21.885,0.663,41.716,0.16,62,33,9,11,6,24,14,4,17,261,260,26,109,6.023,15.353,1.879,15.5,293,0.1,0.273,0.182,0.419,0.333,0.583,MS-W,https://www.espncricinfo.com/db/PICTURES/CMS/313500/313504.logo.png,#1f9707,https://upload.wikimedia.org/wikipedia/en/9/97/Weber_wbbl_logo.png,#312D2E,#DFE22B,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337190.png,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337190.png,https://www.espncricinfo.com/db/PICTURES/CMS/334800/334893.4.jpg
Alana King,944393,Perth Scorchers Women,2021,Women's Big Bash League,45.062,0.119,-1.101,-0.014,46.163,0.153,85,77,8,28,0,72,53,4,17,299,302,30,125,5.94,17.588,1.104,21.25,379,0.099,0.104,0,0.414,0.364,0.736,PS-W,https://www.espncricinfo.com/db/PICTURES/CMS/313500/313507.logo.png,#f27107,https://upload.wikimedia.org/wikipedia/en/9/97/Weber_wbbl_logo.png,#312D2E,#DFE22B,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337190.png,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337190.png,https://www.espncricinfo.com/db/PICTURES/CMS/334800/334893.4.jpg
Alana King,944393,Perth Scorchers Women,2022,Women's Big Bash League,47.413,0.146,14.77,0.389,32.643,0.114,68,38,9,12,5,31,22,5,17,278,287,29,124,5.812,16.353,1.789,13.6,325,0.101,0.237,0.132,0.432,0.316,0.71,PS-W,https://www.espncricinfo.com/db/PICTURES/CMS/313500/313507.logo.png,#f27107,https://upload.wikimedia.org/wikipedia/en/9/97/Weber_wbbl_logo.png,#312D2E,#DFE22B,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337190.png,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337190.png,https://www.espncricinfo.com/db/PICTURES/CMS/334800/334893.4.jpg
Alana King,944393,Perth Scorchers Women,2023,Women's Big Bash League,15.508,0.038,5.921,0.065,9.588,0.03,103,91,13,36,2,81,47,5,19,347,318,43,143,6.547,18.263,1.132,20.6,409,0.135,0.143,0.022,0.45,0.396,0.58,PS-W,https://www.espncricinfo.com/db/PICTURES/CMS/313500/313507.logo.png,#f27107,https://upload.wikimedia.org/wikipedia/en/9/97/Weber_wbbl_logo.png,#312D2E,#DFE22B,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337190.png,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337190.png,https://www.espncricinfo.com/db/PICTURES/CMS/334800/334893.4.jpg
Alana King,944393,Perth Scorchers Women,2024,Women's Big Bash League,-57.892,-0.214,-16.827,-0.216,-41.065,-0.214,80,78,9,34,3,74,38,4,20,233,192,28,74,7.281,11.65,1.026,20,270,0.146,0.115,0.038,0.385,0.436,0.514,PS-W,https://www.espncricinfo.com/db/PICTURES/CMS/313500/313507.logo.png,#f27107,https://upload.wikimedia.org/wikipedia/en/9/97/Weber_wbbl_logo.png,#312D2E,#DFE22B,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337190.png,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337190.png,https://www.espncricinfo.com/db/PICTURES/CMS/334800/334893.4.jpg
Alana King,944393,Perth Scorchers Women,2025,Women's Big Bash League,-19.57,-0.612,-10.8,-0.9,-8.77,-0.439,5,12,0,8,0,12,5,1,0,29,20,4,8,8.7,Inf,0.417,5,32,0.2,0,0,0.4,0.667,0.417,PS-W,https://www.espncricinfo.com/db/PICTURES/CMS/313500/313507.logo.png,#f27107,https://upload.wikimedia.org/wikipedia/en/9/97/Weber_wbbl_logo.png,#312D2E,#DFE22B,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337190.png,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337190.png,https://www.espncricinfo.com/db/PICTURES/CMS/334800/334893.4.jpg
Alex Blackwell,53677,Sydney Thunder Women,2015,Women's Big Bash League,-25.685,-0.064,-25.685,-0.064,0,0,408,404,29,130,1,381,290,9,NA,NA,0,NA,NA,NA,NA,1.01,45.333,404,NA,0.072,0.002,NA,0.322,0.761,ST-W,https://www.espncricinfo.com/db/PICTURES/CMS/313500/313505.logo.png,#b2f71d,https://upload.wikimedia.org/wikipedia/en/9/97/Weber_wbbl_logo.png,#312D2E,#DFE22B,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320124.png,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320124.png,https://www.espncricinfo.com/db/PICTURES/CMS/150200/150223.1.jpg
Alex Blackwell,53677,Sydney Thunder Women,2016,Women's Big Bash League,17.373,0.049,17.373,0.049,0,0,386,352,50,144,5,311,176,10,NA,NA,0,NA,NA,NA,NA,1.097,38.6,352,NA,0.142,0.014,NA,0.409,0.566,ST-W,https://www.espncricinfo.com/db/PICTURES/CMS/313500/313505.logo.png,#b2f71d,https://upload.wikimedia.org/wikipedia/en/9/97/Weber_wbbl_logo.png,#312D2E,#DFE22B,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320124.png,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320124.png,https://www.espncricinfo.com/db/PICTURES/CMS/150200/150223.1.jpg
Alex Blackwell,53677,Sydney Thunder Women,2017,Women's Big Bash League,-16.271,-0.046,-16.271,-0.046,0,0,339,350,35,139,1,325,197,11,NA,NA,0,NA,NA,NA,NA,0.969,30.818,350,NA,0.1,0.003,NA,0.397,0.606,ST-W,https://www.espncricinfo.com/db/PICTURES/CMS/313500/313505.logo.png,#b2f71d,https://upload.wikimedia.org/wikipedia/en/9/97/Weber_wbbl_logo.png,#312D2E,#DFE22B,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320124.png,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320124.png,https://www.espncricinfo.com/db/PICTURES/CMS/150200/150223.1.jpg
