player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,comp_colour_main,comp_colour_secondary,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Aaliyah Alleyne,661441,Barbados Royals Women,2022,Women's Caribbean Premier League,-19.44,-0.347,-19.44,-0.347,0,0,36,56,1,31,0,59,32,3,NA,NA,0,NA,NA,NA,NA,0.643,12,56,NA,0.018,0,NA,0.554,0.542,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321671.png,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321671.png,https://www.espncricinfo.com/db/PICTURES/CMS/306100/306128.png
Aaliyah Alleyne,661441,Barbados Royals Women,2023,Women's Caribbean Premier League,-37.395,-0.398,-12.68,-0.528,-24.715,-0.353,16,24,0,10,0,27,16,3,1,94,70,10,23,8.057,94,0.667,5.333,94,0.143,0,0,0.329,0.417,0.593,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321671.png,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321671.png,https://www.espncricinfo.com/db/PICTURES/CMS/306100/306128.png
Aaliyah Alleyne,661441,Barbados Royals Women,2024,Women's Caribbean Premier League,-2.253,-0.014,-28.762,-0.533,26.509,0.245,36,54,4,32,1,50,18,5,10,108,108,10,48,6,10.8,0.667,7.2,162,0.093,0.074,0.019,0.444,0.593,0.36,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321671.png,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321671.png,https://www.espncricinfo.com/db/PICTURES/CMS/306100/306128.png
Aaliyah Alleyne,661441,Barbados Royals Women,2025,Women's Caribbean Premier League,-8.271,-0.184,-6.171,-0.475,-2.1,-0.066,9,13,1,6,0,12,5,1,2,40,32,5,15,7.5,20,0.692,9,45,0.156,0.077,0,0.469,0.462,0.417,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321671.png,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321671.png,https://www.espncricinfo.com/db/PICTURES/CMS/306100/306128.png
Afy Fletcher,355351,Barbados Royals Women,2022,Women's Caribbean Premier League,9.686,0.14,-11.236,-0.749,20.922,0.387,8,15,0,8,0,15,8,2,2,40,54,3,27,4.444,20,0.533,4,69,0.056,0,0,0.5,0.533,0.533,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320593.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320593.png,https://www.espncricinfo.com/db/PICTURES/CMS/306100/306129.png
Afy Fletcher,355351,Barbados Royals Women,2023,Women's Caribbean Premier League,17.943,0.214,-0.045,-0.045,17.988,0.217,1,1,0,0,0,1,1,NA,1,77,83,4,25,5.566,77,1,NA,84,0.048,0,0,0.301,0,1,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320593.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320593.png,https://www.espncricinfo.com/db/PICTURES/CMS/306100/306129.png
Afy Fletcher,355351,Barbados Royals Women,2024,Women's Caribbean Premier League,-10.067,-0.15,-1.162,-0.097,-8.905,-0.162,14,12,1,4,1,11,8,2,0,62,55,7,18,6.764,Inf,1.167,7,67,0.127,0.083,0.083,0.327,0.333,0.727,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320593.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320593.png,https://www.espncricinfo.com/db/PICTURES/CMS/306100/306129.png
Afy Fletcher,355351,Barbados Royals Women,2025,Women's Caribbean Premier League,-14.997,-0.3,-6.252,-0.781,-8.746,-0.208,3,8,0,5,0,9,3,NA,1,49,42,5,17,7,49,0.375,NA,50,0.119,0,0,0.405,0.625,0.333,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320593.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320593.png,https://www.espncricinfo.com/db/PICTURES/CMS/306100/306129.png
Amanda-Jade Wellington,381305,Barbados Royals Women,2023,Women's Caribbean Premier League,60.529,0.439,14.416,0.801,46.113,0.384,31,18,5,3,0,13,11,1,9,99,120,8,56,4.95,11,1.722,31,138,0.067,0.278,0,0.467,0.167,0.846,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://www.espncricinfo.com/db/PICTURES/CMS/326400/326476.png,https://www.espncricinfo.com/db/PICTURES/CMS/326400/326476.png,https://www.espncricinfo.com/db/PICTURES/CMS/324900/324996.4.jpg
Amanda-Jade Wellington,381305,Barbados Royals Women,2024,Women's Caribbean Premier League,48.285,0.377,4.849,0.373,43.436,0.378,18,13,3,4,0,11,6,2,6,88,115,6,53,4.591,14.667,1.385,9,128,0.052,0.231,0,0.461,0.308,0.545,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://www.espncricinfo.com/db/PICTURES/CMS/326400/326476.png,https://www.espncricinfo.com/db/PICTURES/CMS/326400/326476.png,https://www.espncricinfo.com/db/PICTURES/CMS/324900/324996.4.jpg
