player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,comp_colour_main,comp_colour_secondary,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Alana King,944393,UP Warriorz Women,2025,Women's Premier League,-14.778,-0.448,1.832,0.131,-16.61,-0.874,19,14,3,6,1,11,5,NA,0,38,19,6,3,12,Inf,1.357,NA,33,0.316,0.214,0.071,0.158,0.429,0.455,UPW-W,https://www.espncricinfo.com/db/PICTURES/CMS/355600/355624.png,#2a0659,https://upload.wikimedia.org/wikipedia/en/2/27/Women%27s_Premier_League.svg,#19398A,#F03E5B,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337190.png,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337190.png,https://www.espncricinfo.com/db/PICTURES/CMS/334800/334893.4.jpg
Alice Capsey,1187120,Delhi Capitals Women,2023,Women's Premier League,44.52,0.19,49.619,0.486,-5.099,-0.039,159,102,27,44,10,77,31,6,7,153,132,21,52,6.955,21.857,1.559,26.5,234,0.159,0.265,0.098,0.394,0.431,0.403,DC-W,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313422.logo.png,#004c93,https://upload.wikimedia.org/wikipedia/en/2/27/Women%27s_Premier_League.svg,#19398A,#F03E5B,https://www.espncricinfo.com/db/PICTURES/CMS/326500/326521.png,https://www.espncricinfo.com/db/PICTURES/CMS/326500/326521.png,https://www.espncricinfo.com/db/PICTURES/CMS/324700/324797.4.jpg
Alice Capsey,1187120,Delhi Capitals Women,2024,Women's Premier League,46.985,0.203,36.392,0.201,10.594,0.212,230,181,36,76,6,149,74,8,4,49,50,5,21,5.88,12.25,1.271,28.75,231,0.1,0.199,0.033,0.42,0.42,0.497,DC-W,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313422.logo.png,#004c93,https://upload.wikimedia.org/wikipedia/en/2/27/Women%27s_Premier_League.svg,#19398A,#F03E5B,https://www.espncricinfo.com/db/PICTURES/CMS/326500/326521.png,https://www.espncricinfo.com/db/PICTURES/CMS/326500/326521.png,https://www.espncricinfo.com/db/PICTURES/CMS/324700/324797.4.jpg
Alice Capsey,1187120,Delhi Capitals Women,2025,Women's Premier League,-13.069,-0.436,-1.711,-0.101,-11.358,-0.874,16,17,1,3,0,16,12,1,1,25,13,4,4,11.538,25,0.941,16,30,0.308,0.059,0,0.308,0.176,0.75,DC-W,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313422.logo.png,#004c93,https://upload.wikimedia.org/wikipedia/en/2/27/Women%27s_Premier_League.svg,#19398A,#F03E5B,https://www.espncricinfo.com/db/PICTURES/CMS/326500/326521.png,https://www.espncricinfo.com/db/PICTURES/CMS/326500/326521.png,https://www.espncricinfo.com/db/PICTURES/CMS/324700/324797.4.jpg
Alyssa Healy,275486,UP Warriorz Women,2023,Women's Premier League,62.193,0.347,62.193,0.347,0,0,253,179,44,68,3,137,71,8,NA,NA,0,NA,NA,NA,NA,1.413,31.625,179,NA,0.246,0.017,NA,0.38,0.518,UPW-W,https://www.espncricinfo.com/db/PICTURES/CMS/355600/355624.png,#2a0659,https://upload.wikimedia.org/wikipedia/en/2/27/Women%27s_Premier_League.svg,#19398A,#F03E5B,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320125.png,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320125.png,https://www.espncricinfo.com/db/PICTURES/CMS/150200/150224.1.jpg
Alyssa Healy,275486,UP Warriorz Women,2024,Women's Premier League,15.827,0.107,15.827,0.107,0,0,175,148,31,75,3,122,45,8,NA,NA,0,NA,NA,NA,NA,1.182,21.875,148,NA,0.209,0.02,NA,0.507,0.369,UPW-W,https://www.espncricinfo.com/db/PICTURES/CMS/355600/355624.png,#2a0659,https://upload.wikimedia.org/wikipedia/en/2/27/Women%27s_Premier_League.svg,#19398A,#F03E5B,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320125.png,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320125.png,https://www.espncricinfo.com/db/PICTURES/CMS/150200/150224.1.jpg
Amanjot Kaur,1255411,Mumbai Indians Women,2023,Women's Premier League,-7.089,-0.169,-5.239,-0.218,-1.85,-0.103,24,24,2,8,0,22,16,3,0,19,18,3,8,6.333,Inf,1,8,42,0.167,0.083,0,0.444,0.333,0.727,MI-W,https://www.espncricinfo.com/db/PICTURES/CMS/344000/344062.png,#005ea0,https://upload.wikimedia.org/wikipedia/en/2/27/Women%27s_Premier_League.svg,#19398A,#F03E5B,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Amanjot Kaur,1255411,Mumbai Indians Women,2024,Women's Premier League,3.403,0.061,6.485,0.147,-3.082,-0.257,57,44,8,17,0,37,25,3,0,15,12,3,6,7.5,Inf,1.295,19,56,0.25,0.182,0,0.5,0.386,0.676,MI-W,https://www.espncricinfo.com/db/PICTURES/CMS/344000/344062.png,#005ea0,https://upload.wikimedia.org/wikipedia/en/2/27/Women%27s_Premier_League.svg,#19398A,#F03E5B,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Amanjot Kaur,1255411,Mumbai Indians Women,2025,Women's Premier League,31.66,0.173,48.337,0.604,-16.677,-0.162,102,80,12,25,3,69,48,3,6,135,103,19,35,7.864,22.5,1.275,34,183,0.184,0.15,0.038,0.34,0.312,0.696,MI-W,https://www.espncricinfo.com/db/PICTURES/CMS/344000/344062.png,#005ea0,https://upload.wikimedia.org/wikipedia/en/2/27/Women%27s_Premier_League.svg,#19398A,#F03E5B,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Amanjot Kaur,1255411,Mumbai Indians Women,2026,Women's Premier League,-51.379,-0.221,21.839,0.21,-73.218,-0.572,139,104,23,42,3,83,41,6,5,211,128,31,38,9.891,42.2,1.337,23.167,232,0.242,0.221,0.029,0.297,0.404,0.494,MI-W,https://www.espncricinfo.com/db/PICTURES/CMS/344000/344062.png,#005ea0,https://upload.wikimedia.org/wikipedia/en/2/27/Women%27s_Premier_League.svg,#19398A,#F03E5B,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
